Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,545128,358282,321117,570599,491407,378887,1156667,1499984
China,80470,74413,70703,189723,158535,108112,318714,528016
India,64241,32150,29580,81544,57039,38018,193364,237776
Japan,102422,83037,79293,99410,100211,72082,128431,209224
United States of America,44643,16809,14306,35893,28899,53164,38163,113372
South Africa,65780,29369,23228,29125,20641,10503,43009,78702
Finland,2584,4133,3885,4143,9095,16595,38708,70214
United Arab Emirates,28006,17006,15378,23038,20266,11608,21685,48880
Sweden,3399,3440,877,5977,5094,3700,13872,31785
"Korea, Republic of",4836,5315,3201,1556,4042,5122,33116,30585
Germany,34898,13576,14237,30037,19698,15590,23855,25989
United Kingdom,8606,6604,19665,24503,13035,7261,10433,24391
Belgium,33034,6908,6667,9299,6649,6781,11692,15115
France,14771,6979,7481,6653,11074,4693,10336,14843
Thailand,3597,2350,3018,4223,2402,1309,2465,8899
Indonesia,192,1100,342,7154,382,222,811,8439
Mexico,212,115,268,712,1194,1278,708,7914
"Tanzania, United Republic of",337,1043,1280,570,55,100,7094,6579
Italy,5531,7284,3804,3100,3778,1595,7001,6554
Canada,3236,2517,1423,1756,3625,2123,4125,5615
Netherlands,1232,951,722,390,789,984,1398,3317
Zambia,2048,832,201,1021,471,420,1950,2681
Spain,989,1090,968,1117,2259,696,1006,2538
Pakistan,78,22483,1196,13,9632,198,196440,2051
Brazil,1284,304,1152,841,2632,593,2229,1905
Türkiye,1749,141,196,296,830,699,1183,1744
Malaysia,24,3,52,13,86,9,10,1100
Angola,326,1308,462,137,700,187,240,1048
Switzerland,815,586,987,505,531,484,538,923
Kenya,9927,954,668,1039,549,1112,5649,902
Hungary,246,334,130,154,314,254,591,888
Chile,0,8,0,3,0,0,0,887
Uganda,10320,1325,1063,806,402,752,329,749
Lebanon,111,206,313,81,152,317,148,748
Nigeria,371,724,121,63,741,647,462,733
Slovakia,218,45,57,91,92,80,227,549
"Hong Kong, China",345,196,227,282,18,929,316,539
Poland,71,294,28,33,560,294,220,426
Austria,33,61,57,13,2005,7,159,308
Viet Nam,0,0,9,0,0,0,0,251
"Taipei, Chinese",439,22,57,31,42,19,599,250
Czech Republic,22,3,11,35,27,14,75,247
Sri Lanka,7,0,0,15,11,13,0,237
Ireland,29,24,768,126,232,196,377,205
Romania,189,327,5,17,199,19,105,204
Australia,2233,6204,3834,455,860,721,414,202
Jordan,3,3,7,2,11,244,199,171
Singapore,162,52,350,55,0,25,13,130
Russian Federation,2277,398,3021,295,39,0,7703,120
Denmark,643,653,23,775,66,26,29,103
Bangladesh,53,1271,0,766,578,52,22236,102
Senegal,41,13,4,0,41,7853,59,81
Eswatini,54,30,31,65,0,47,74,70
Egypt,79,2357,34,254,174,2,35,64
Estonia,0,0,0,45,1,0,13,59
Algeria,0,0,0,0,0,0,0,53
Portugal,57,29,24,218,109,52,50,48
Guatemala,0,0,0,0,0,0,6,41
Madagascar,17,0,0,0,0,0,0,37
Turks and Caicos Islands,0,0,0,0,0,0,206,37
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,33
Saint Pierre and Miquelon,0,0,0,0,0,0,0,29
Greece,108,11,0,2,0,9,2,21
Norway,29,26,20,9,32,159,62,20
El Salvador,0,0,0,0,0,0,4,19
Mauritius,5271,48,264,681,0,319,789,17
"Korea, Democratic People's Republic of",295,106,10,10,61,43,201,15
Central African Republic,0,0,0,0,0,3,0,15
Iceland,108,22,0,16,28,0,24,15
Niger,27,3,0,0,0,0,10,15
Andorra,6,4,9,0,0,0,0,14
Rwanda,354,14,5,15,201,1,3,14
Mauritania,0,0,0,26,1,0,0,13
Bosnia and Herzegovina,0,0,0,26,0,0,0,11
Benin,9,1,1328,29,2,1,2,11
Albania,13,8,0,0,0,0,0,9
New Zealand,48,12,0,66,3,0,296,9
Burundi,1,4,0,5,1,1,31,8
Slovenia,250,10,7,0,4,0,0,7
Bulgaria,4,6,6,2,9,10,11,6
Honduras,2,0,0,0,0,0,0,6
Panama,8,2,7,3,3,0,3,6
