Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,4924,41284,9317,13,1,0,3,0,0,0,129,46,36,0,16,35,0,0
Belgium,4924,27611,5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,409,2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,0,0
France,0,1090,0,10,0,0,0,0,0,0,0,6,0,0,10,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
Israel,0,9205,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,2696,1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
United States of America,0,41,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0
HHI,1,0.562877263,0.340173976,0.264115911,1,0,1,0,0,0,1,0.661302497,1,0,0.074300818,1,0,0
