Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,50,173,118,203,325,343,284,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,12,35,58,10,41,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,54,0,28,64,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
France,0,0,0,29,6,80,79,191,57,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,9,145,0,8,0,0,47,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Mali,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
HHI,0,0,0.385441559,0.504081847,0.205821252,0.182004214,0.265217991,0.369459187,0.015362271,0,0,0,0,0,0,0,0,0
