Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,13,16,14,0,1,0,0,0,19,5,97,5,10,80,9,3,15,50
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,12,0,0,0,0,0,0,0,3,95,5,2,64,7,0,0,0
Cook Islands,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0
Kiribati,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vanuatu,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
Papua New Guinea,13,0,14,0,0,0,0,0,17,1,1,0,0,10,1,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United States of America,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,1,0.46907479,1,0,1,0,0,0,0.687810871,0.203418298,0.951857777,1,0.599342904,0.624422974,0.602467234,0.130590976,0.696627723,0.733897344
