Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,6,19,116,41,63,10,10,26,22,25,84,14,0,1,1,1,1,2,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Netherlands,0,0,0,3,4,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0
Portugal,6,19,26,3,22,10,3,8,7,10,60,6,0,0,0,1,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,26,33,38,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,61,0,0,0,0,0,4,3,24,8,0,0,0,0,0,0,0,0
HHI,1,1,0.229105995,0.625934957,0.289847441,1,0.2,0.346147762,0.100714794,0.201444908,0.212372541,0.024510411,0,1,1,1,1,1,0,0
