Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,0,0,536,825,845,1097,1999,684,0,65,620,353,577,317,394,453,650,483
Cameroon,0,0,0,3,175,0,1347,0,0,19,352,0,84,0,296,418,628,483
Belgium,0,0,243,432,409,0,0,0,0,0,153,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
China,0,0,100,0,2,0,0,0,0,0,45,153,353,0,16,0,21,0
France,0,0,0,0,19,0,373,4,0,11,11,0,0,0,2,0,0,0
Germany,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lebanon,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0
Morocco,0,0,0,0,0,0,0,103,0,0,31,72,34,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Russian Federation,0,0,193,236,240,270,0,332,0,0,0,0,0,221,0,0,0,0
South Africa,0,0,0,0,0,0,279,0,0,0,0,0,0,24,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,719,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
Ukraine,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,0.073161374,0.250413338,0.273903246,0.306757636,0.320924122,0.243546317,0,0.137887921,0.369966756,0.051416627,0.376731408,0.378030652,0.558598837,0.824429761,0.921199751,1
