Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,84,59,93,0,0,0,0,0,0,0,2615,5473,7302,7940,5869,2639,3096,1608
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,2369,5212,7179,7790,5606,2410,2187,1458
Sao Tome and Principe,0,1,0,0,0,0,0,0,0,0,32,149,75,54,61,40,56,51
Mozambique,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,4,1,22
Congo,0,0,0,0,0,0,0,0,0,0,5,2,0,10,11,53,416,17
Cuba,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,95,10
South Africa,4,2,6,0,0,0,0,0,0,0,2,5,1,6,6,7,42,9
United States of America,14,22,46,0,0,0,0,0,0,0,7,5,2,5,4,22,39,7
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Brazil,0,0,1,0,0,0,0,0,0,0,2,3,0,1,143,16,20,3
France,17,17,25,0,0,0,0,0,0,0,83,8,10,2,5,3,27,3
Namibia,0,0,0,0,0,0,0,0,0,0,13,7,15,7,15,13,29,3
Portugal,0,0,3,0,0,0,0,0,0,0,3,13,3,33,6,11,42,3
Belgium,5,0,0,0,0,0,0,0,0,0,46,20,0,1,0,1,0,2
Germany,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2
United Kingdom,6,5,3,0,0,0,0,0,0,0,2,1,3,2,0,4,23,2
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1
China,17,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1
Gambia,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1
Ghana,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,13,1
Guinea,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,19,0,1
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Denmark,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Italy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
"Korea, Republic of",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,9,0
Nigeria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
Norway,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
India,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Switzerland,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,8,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Zambia,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Argentina,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cameroon,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Canada,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
El Salvador,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Indonesia,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Ireland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Macao, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Philippines,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
