Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,584614,562223,1307496,1903912,1811407,1199086,245938,83816
United States of America,336622,213185,1237852,1859509,1759068,1157394,199856,23358
Malta,0,0,0,1,3186,9741,0,12525
Switzerland,169630,229,152,340,77,17,2448,12026
Germany,3488,6672,12861,20741,11729,20847,3389,11215
France,4793,981,722,895,818,727,10166,5180
United Kingdom,59002,328709,40063,6281,2818,4494,3093,5071
Malaysia,11,33,11,2,16925,0,2331,4538
South Africa,2092,3770,5098,5515,5025,1999,1697,2975
China,1254,1021,3069,1511,2548,720,1167,2865
Italy,384,322,280,314,575,568,3544,1050
Belgium,957,3326,952,2004,1384,358,2003,707
India,1173,961,1447,826,926,587,1687,269
Finland,1,3,2,1,5,7,26,231
Saudi Arabia,10,42,215,473,222,202,83,228
Kenya,1275,464,787,374,312,150,99,189
Spain,107,372,141,500,417,270,9595,170
Eswatini,1,9,0,5,244,14,227,157
United Arab Emirates,854,104,1689,1079,3386,172,152,145
Zambia,22,1,9,11,1,7,6,120
Hungary,130,188,185,503,139,148,193,114
"Taipei, Chinese",6,3,32,73,27,51,160,109
Togo,11,3,1,0,1,5,0,85
Japan,42,131,15,120,84,43,17,73
Türkiye,51,29,31,55,190,138,72,73
Belarus,0,0,0,0,0,0,0,68
Uganda,16,11,41,24,2,23,3,57
Netherlands,71,230,19,13,20,19,151,34
Denmark,5,97,7,110,643,25,119,30
Ghana,29,15,1,0,0,0,0,27
"Korea, Republic of",1291,655,164,235,171,63,159,24
Mexico,0,0,5,1,0,0,0,24
Côte d'Ivoire,31,37,37,5,5,1,69,11
Greece,4,1,6,12,15,1,6,8
"Hong Kong, China",27,52,30,6,5,4,8,6
Nigeria,18,14,25,18,16,7,3,6
Rwanda,9,2,3,2,1,0,1,5
Canada,156,41,59,34,149,18,3114,4
Congo,1,0,0,1,13,2,11,4
Sweden,100,29,2,1523,7,1,1,4
Angola,1,2,0,0,0,0,3,3
Cameroon,39,9,9,3,4,2,4,3
Austria,9,0,0,0,0,0,0,2
Benin,1,1,2,0,0,0,0,2
Lithuania,26,0,0,0,0,1,0,2
Senegal,6,44,121,301,21,4,99,2
Thailand,2,6,4,2,5,0,1,2
Tunisia,1,11,1,3,6,1,3,2
Egypt,0,0,1,7,1,0,14,2
"Tanzania, United Republic of",77,11,150,47,7,6,17,2
Australia,22,26,8,14,4,0,4,1
Brazil,1,0,0,9,0,0,0,1
Sri Lanka,0,0,0,0,0,0,0,1
Estonia,0,0,0,0,0,0,1,1
Lao People's Democratic Republic,0,0,0,0,0,0,0,1
Lebanon,681,299,994,142,24,5,20,1
Luxembourg,0,9,0,0,2,0,0,1
Singapore,4,15,12,2,5,16,0,1
Morocco,17,8,21,24,29,1,1,0
Portugal,9,0,4,0,1,0,2,0
Equatorial Guinea,0,0,3,0,0,0,3,0
"Korea, Democratic People's Republic of",0,3,19,0,0,0,0,0
Albania,0,0,0,1,4,0,0,0
Argentina,8,0,0,0,0,0,0,0
Bangladesh,0,0,0,1,0,0,0,0
"Bolivia, Plurinational State of",0,0,0,0,4,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,10,0
Botswana,0,0,0,0,0,0,4,0
Bulgaria,0,0,0,0,16,186,0,0
Burundi,0,0,0,0,0,1,0,0
Cambodia,0,0,0,0,4,0,0,0
Cayman Islands,0,0,0,2,0,0,0,0
Chile,0,0,0,2,0,0,0,0
Colombia,0,1,0,0,0,0,0,0
Czech Republic,0,0,0,1,0,0,0,0
Ecuador,0,0,1,0,0,0,0,0
Ethiopia,0,12,8,1,12,0,4,0
Djibouti,0,1,0,0,0,0,0,0
Gabon,1,1,2,30,19,30,29,0
Guinea,1,0,0,0,0,0,0,0
Honduras,2,0,0,0,0,0,0,0
Iceland,0,0,0,40,7,0,0,0
Indonesia,12,0,3,1,0,0,1,0
"Iran, Islamic Republic of",0,0,0,1,5,0,0,0
Ireland,1,2,4,25,37,0,0,0
Israel,0,1,101,0,2,0,0,0
Jamaica,0,0,2,0,0,0,0,0
Kuwait,1,1,0,0,0,0,0,0
Liberia,0,0,0,26,0,0,0,0
Madagascar,1,0,1,0,0,0,0,0
Mali,0,3,2,0,0,1,1,0
Mauritania,0,0,0,6,0,1,0,0
Mauritius,0,0,0,0,0,0,3,0
Mozambique,0,1,0,0,0,0,0,0
Oman,0,1,0,85,0,0,0,0
Namibia,0,0,0,0,22,0,0,0
Nepal,0,2,0,0,0,0,0,0
Curaçao,1,0,0,0,0,0,0,0
Niger,3,1,0,0,5,0,3,0
Norway,0,0,0,0,0,0,9,0
Pakistan,2,2,0,11,0,0,1,0
Papua New Guinea,0,1,0,0,0,0,0,0
Philippines,0,0,7,1,0,2,0,0
Poland,0,0,0,1,4,0,0,0
Romania,0,0,0,0,0,1,40,0
Russian Federation,2,1,0,0,0,0,6,0
Serbia,0,0,0,0,5,2,0,0
Sierra Leone,0,0,3,0,0,0,2,0
Viet Nam,0,0,0,1,0,0,0,0
Slovenia,5,0,0,0,0,0,0,0
Zimbabwe,4,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,1,0,0
Suriname,0,3,0,0,0,0,0,0
Turks and Caicos Islands,0,2,0,0,0,0,0,0
Burkina Faso,0,1,0,0,0,0,0,0
HHI,0.60356559,0.654493015,0.9394823,0.973458323,0.966990574,0.959801477,0.7879014,0.296133357
