Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,26996,21353,21775,21717,14962
Costa Rica,10007,8040,9551,8570,4866
China,3195,3192,2061,2119,3329
United States of America,3227,3884,3966,2632,2226
Guatemala,2004,2312,2552,3742,2181
Trinidad and Tobago,51,0,0,0,287
Colombia,361,172,266,385,269
"Hong Kong, China",79,103,169,118,191
Argentina,0,10,89,195,180
Türkiye,177,201,148,104,131
Netherlands,310,465,308,344,127
France,135,135,129,107,118
Germany,326,156,275,222,115
Panama,5462,320,258,461,112
India,8,24,7,524,111
Indonesia,25,133,568,276,100
Saudi Arabia,0,0,0,0,97
Mexico,131,386,505,82,89
Dominican Republic,200,297,159,206,71
Peru,1,5,7,781,66
"Taipei, Chinese",59,353,119,38,53
Brazil,45,13,11,20,50
Belgium,34,49,31,190,36
United Kingdom,9,0,2,27,34
Canada,229,142,223,48,27
Japan,24,19,38,57,25
Israel,0,0,0,0,20
Spain,62,37,25,23,13
Italy,18,50,81,23,11
Thailand,26,16,15,9,7
Singapore,3,0,0,0,5
Malaysia,10,17,5,9,3
Barbados,1,0,1,6,2
"Korea, Republic of",3,0,4,6,2
Aruba,1,1,0,0,2
Gabon,0,0,0,0,1
Curaçao,1,0,1,0,1
Gibraltar,0,0,10,0,0
Albania,0,0,5,0,0
Austria,0,28,5,0,0
Bahamas,104,0,0,0,0
Belize,0,4,0,0,0
Bulgaria,0,0,0,15,0
Burundi,0,0,1,0,0
Chile,0,0,0,1,0
Denmark,0,0,0,36,0
El Salvador,0,0,0,1,0
Georgia,0,0,9,0,0
Guinea,0,1,0,0,0
Iceland,0,16,0,0,0
Ireland,85,0,0,0,0
Jamaica,180,692,4,0,0
Kenya,0,0,1,0,0
Oman,0,0,76,0,0
Niger,0,0,2,0,0
Poland,0,7,1,0,0
Portugal,0,0,0,2,0
Viet Nam,0,0,1,3,0
Eswatini,0,13,0,0,0
United Arab Emirates,36,16,20,4,0
Tunisia,0,0,3,0,0
Turks and Caicos Islands,0,1,0,0,0
"Venezuela, Bolivarian Republic of",367,41,57,330,0
Zambia,0,0,4,0,0
HHI,0.355719284,0.354082808,0.413008665,0.356062203,0.33698757
