Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,21621,20377,21779,25432,14134,30633,16536,14497
South Africa,9781,7183,5332,10673,6425,7774,4841,5742
Zambia,7721,5967,2785,5641,1281,2810,1585,2906
"Tanzania, United Republic of",448,79,76,271,738,1569,1844,869
Italy,0,0,1,0,26,0,0,849
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,738
Zimbabwe,0,3,59,115,0,78,161,670
France,136,677,419,105,373,15,16,433
Belgium,180,1677,534,2146,1406,1051,933,384
Ukraine,0,0,0,0,5,0,160,231
China,14,17,234,38,24,27,82,190
United States of America,165,229,45,70,30,19,15,190
Mali,0,19,42,544,103,76,718,161
Rwanda,178,848,1769,362,12,538,612,150
Gabon,2,1,0,1,6,69,132,138
Jordan,1,0,0,0,0,0,30,126
Uganda,365,526,1444,595,628,154,116,113
Côte d'Ivoire,0,65,87,1,201,11393,458,79
Switzerland,74,0,1,37,0,1,33,73
Ethiopia,0,339,0,0,272,0,3,67
Singapore,0,0,0,0,0,0,0,65
Congo,50,39,179,42,454,163,88,63
Burundi,16,5,25,5,18,1026,0,51
Kenya,78,8,259,653,195,1,783,41
Botswana,0,13,1977,73,6,536,53,31
United Arab Emirates,0,10,3,2,19,71,89,30
Türkiye,0,0,0,0,0,0,13,15
Angola,0,379,452,960,181,39,893,13
Czech Republic,200,0,0,0,4,107,0,8
Guinea,0,21,3,12,0,0,3,8
Germany,186,27,0,162,6,3,55,7
Namibia,2,109,17,0,3,1,107,7
Canada,499,541,1066,7,0,53,3,6
Sierra Leone,0,0,0,0,0,1,78,6
Cameroon,0,507,178,9,1,0,66,5
Nigeria,0,15,1,28,2,0,1,5
Sweden,69,2,114,36,54,295,9,5
Benin,0,2,8,1,3,0,3,4
French Polynesia,0,0,0,0,0,0,0,3
Central African Republic,0,0,0,45,3,0,2,2
Greece,0,0,0,0,1,0,0,2
Japan,0,0,0,914,38,0,0,2
Kazakhstan,0,0,0,0,0,0,0,2
Serbia,0,0,0,0,0,0,6,2
Ireland,0,0,0,0,0,0,0,1
Senegal,9,0,0,8,18,1,37,1
India,0,7,31,110,1,1,2,1
Togo,3,67,0,1,0,3,0,1
United Kingdom,77,108,1601,80,179,131,46,1
Burkina Faso,0,0,1,936,0,0,17,1
Malawi,3,332,0,0,129,95,1,0
Netherlands,283,1,2,4,1,0,88,0
Chad,0,0,2,0,0,3,0,0
Algeria,0,0,0,0,0,1,0,0
Australia,125,44,0,62,1,1146,0,0
Austria,0,0,0,0,0,0,268,0
Bahamas,0,0,1,0,0,0,0,0
Bangladesh,82,189,0,0,0,0,895,0
"Bolivia, Plurinational State of",0,0,0,32,0,0,0,0
Brazil,0,0,0,0,0,0,6,0
Chile,0,0,0,0,1,0,0,0
Costa Rica,0,0,0,0,0,0,0,0
Denmark,4,0,0,0,0,0,0,0
Finland,13,0,0,0,20,0,0,0
Djibouti,0,1,0,0,0,0,0,0
Ghana,2,4,932,12,36,328,1015,0
Haiti,0,0,0,0,2,0,0,0
"Hong Kong, China",56,0,1,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0
Israel,0,0,1,0,1,0,0,0
"Korea, Republic of",0,3,1,2,0,1,5,0
Lao People's Democratic Republic,0,0,0,0,95,45,0,0
Lebanon,0,1,0,1,0,0,0,0
Liberia,0,11,0,0,0,0,0,0
Luxembourg,0,0,0,1,3,0,1,0
Madagascar,0,0,2,0,2,0,0,0
Malaysia,0,0,0,0,123,24,0,0
Malta,5,0,0,0,0,0,0,0
Mauritania,0,0,0,2,0,0,6,0
Mauritius,196,45,1,0,0,0,0,0
Mexico,106,0,48,0,0,0,0,0
"Taipei, Chinese",0,2,0,2,0,0,1,0
Morocco,0,0,0,11,6,846,0,0
Mozambique,0,0,63,25,719,0,0,0
Nepal,0,0,521,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0
Norway,9,0,0,0,0,0,0,0
Pakistan,0,0,0,0,7,13,59,0
Panama,0,2,0,0,0,0,0,0
Papua New Guinea,0,0,0,52,0,0,0,0
Philippines,0,0,1,0,0,0,0,0
Poland,0,0,0,0,0,0,1,0
Portugal,0,0,0,1,4,0,1,0
Guinea-Bissau,0,0,0,1,0,0,0,0
Romania,0,0,1,0,0,0,0,0
Russian Federation,0,0,0,0,0,1,0,0
Saint Kitts and Nevis,0,13,1,0,0,0,0,0
Saudi Arabia,0,90,0,0,0,0,0,0
Slovakia,4,10,7,0,15,0,3,0
Viet Nam,0,0,0,0,0,0,0,0
Spain,0,133,0,0,215,2,0,0
Sudan,0,7,3,3,0,0,50,0
Thailand,0,0,0,0,0,125,0,0
Tunisia,0,0,0,0,0,0,4,0
Egypt,479,0,0,245,35,0,0,0
Uruguay,0,0,1448,294,0,0,40,0
HHI,0.495607279,0.383058137,0.222482949,0.40549313,0.403202763,0.372483069,0.256410267,0.370013536
