Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,15340,26370,13948,13539,11225
China,4756,3556,3207,3264,4356
United States of America,3325,3912,2906,3383,1455
Mexico,888,1009,422,722,1418
Honduras,2328,1981,3198,2838,923
Colombia,65,10,21,224,757
Costa Rica,56,12,139,161,428
"Hong Kong, China",334,654,926,696,377
Dominican Republic,1418,1173,491,601,348
Italy,59,119,78,34,243
Uruguay,716,501,1049,381,158
Germany,176,10058,26,48,89
United Kingdom,68,143,104,134,69
Netherlands,1,194,4,23,68
Panama,225,209,69,57,67
India,286,447,76,276,67
Belgium,12,7,150,47,64
France,101,351,291,49,53
"Taipei, Chinese",122,434,281,292,47
Canada,116,170,186,47,45
Chile,0,0,0,0,34
Spain,59,808,115,42,34
Malaysia,0,31,109,70,24
Brazil,17,4,4,13,21
Sri Lanka,0,0,0,0,19
"Korea, Republic of",90,91,4,42,17
Japan,10,12,24,12,13
Eswatini,15,20,7,11,10
Viet Nam,0,1,0,2,5
United Arab Emirates,12,19,6,5,5
Argentina,1,6,7,3,3
Thailand,15,7,13,7,3
Barbados,0,0,2,2,1
Czech Republic,0,0,0,2,1
Denmark,3,1,0,10,1
Russian Federation,0,0,0,0,1
"Venezuela, Bolivarian Republic of",0,0,0,0,1
United States Minor Outlying Islands,0,0,0,0,0
Albania,0,0,0,1,0
Australia,3,0,0,0,0
Belize,0,4,0,0,0
Ecuador,0,0,2,0,0
Guatemala,0,4,16,0,0
Indonesia,2,0,0,0,0
Jamaica,31,421,7,4,0
Luxembourg,2,0,0,0,0
Peru,1,0,0,1,0
Philippines,6,0,0,0,0
Poland,0,0,1,0,0
Portugal,0,0,0,1,0
Romania,0,0,0,1,0
Saudi Arabia,2,0,0,0,0
Sweden,17,0,2,3,0
Switzerland,0,1,0,0,0
Trinidad and Tobago,1,1,0,0,0
Tunisia,0,0,1,0,0
Türkiye,0,0,3,32,0
HHI,0.313340947,0.331918847,0.283850713,0.306389119,0.335585261
