Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,413,975,1206,285,115,427,103,397
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,239
"Tanzania, United Republic of",0,22,42,27,41,14,31,31
Uganda,370,520,0,0,0,0,2,19
Zambia,5,402,697,17,24,16,19,16
Lebanon,0,0,0,0,0,0,0,15
Nigeria,0,0,0,0,0,0,2,15
Germany,0,0,0,3,1,1,1,12
Benin,0,0,0,1,0,0,0,9
France,0,3,7,4,2,4,5,9
Belgium,3,2,0,2,1,1,1,8
Malawi,0,0,0,0,0,0,0,8
"Taipei, Chinese",0,0,1,0,0,0,0,4
South Africa,12,3,2,0,14,0,5,4
Togo,4,0,0,0,0,0,0,3
Senegal,0,0,0,0,0,0,0,2
Canada,0,0,0,1,0,0,0,1
Zimbabwe,0,0,0,0,0,0,1,1
China,0,0,1,1,0,0,5,0
Greece,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,1,0,0
India,0,0,1,1,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
Angola,0,1,422,116,0,0,3,0
Burundi,0,0,0,0,0,1,0,0
Cameroon,0,19,1,1,0,0,4,0
Congo,0,0,0,0,4,359,12,0
Djibouti,0,0,0,0,0,0,1,0
Gabon,0,0,0,0,0,20,5,0
Ghana,19,0,0,1,2,0,0,0
Guinea,0,0,2,0,0,0,0,0
Haiti,0,0,1,0,0,0,0,0
"Hong Kong, China",0,0,1,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0
Israel,0,0,0,0,14,0,0,0
Japan,0,0,0,0,0,0,0,0
Kenya,0,0,0,2,0,1,0,0
"Korea, Republic of",0,0,1,1,0,0,0,0
Madagascar,0,0,3,1,0,0,0,0
Mali,0,0,1,0,0,0,1,0
Mauritius,0,0,1,0,0,0,0,0
Mozambique,0,0,0,15,0,0,0,0
Namibia,0,0,0,0,0,0,1,0
Netherlands,0,1,0,0,0,0,0,0
Pakistan,0,0,0,0,0,1,0,0
Romania,0,0,1,0,0,0,0,0
Rwanda,0,0,0,89,0,0,0,0
Spain,0,0,13,0,0,1,0,0
Thailand,0,0,0,0,0,1,0,0
Egypt,0,0,0,0,0,0,3,0
United Kingdom,0,0,0,0,0,1,1,0
United States of America,0,1,5,1,9,2,0,0
HHI,0.827119927,0.524405445,0.580387213,0.382710628,0.20514619,0.789186218,0.208607844,0.491850131
