Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,413071,210379,216962,298609,384058,302022,653989,1004302
China,105625,51275,73706,135166,191416,163798,363538,616914
South Africa,184683,87797,76406,96754,106701,70520,147405,196883
India,11076,5939,12551,16002,17034,10346,39942,53842
Zambia,9284,7416,8505,12157,11474,15828,19057,53259
Belgium,14113,7753,4568,3235,4540,2730,4402,7734
France,9562,3712,4895,1667,4885,1649,4895,7356
Finland,308,652,234,718,1088,956,4137,7051
United States of America,7324,4518,5412,4227,5812,2713,4735,6581
United Arab Emirates,6535,2696,2508,2844,5641,2918,6849,5983
Germany,7940,3346,2210,1470,2411,1848,2778,4881
Uganda,2294,4464,2419,1682,2426,3147,3106,4495
Türkiye,455,768,865,785,789,1353,4810,4241
Italy,5277,6717,7146,1780,14028,6954,2887,3143
Australia,9819,7228,6638,1719,3089,2200,6238,2842
Kenya,2025,1391,1448,1032,2194,2772,3088,2831
Poland,59,973,350,118,100,68,504,2545
"Tanzania, United Republic of",1031,175,93,124,116,121,1716,2487
Angola,20,91,304,915,622,926,1430,2221
"Taipei, Chinese",1461,1579,828,1313,657,628,2192,2127
Lebanon,863,1088,584,214,426,240,1146,1861
Sweden,1235,737,501,679,1285,504,5769,1792
Canada,1132,1516,578,1218,1027,806,1797,1525
Thailand,27,32,18,738,100,1470,435,1266
Tunisia,7,73,0,8,0,1,641,1082
Spain,18232,562,825,1011,305,1496,3876,936
United Kingdom,1640,340,619,1030,953,1845,5116,928
Eswatini,3,0,0,3,0,1,10,820
Rwanda,20,121,79,325,364,710,510,775
Japan,1037,899,888,836,429,583,837,659
Singapore,8,0,41,1,112,234,347,578
"Korea, Republic of",410,534,282,417,570,243,3477,481
Mexico,621,282,84,116,156,57,345,458
Portugal,45,90,4,802,60,397,580,390
Malaysia,300,236,41,299,230,210,174,368
Côte d'Ivoire,10,12,10,22,2,20,1,321
Netherlands,316,651,106,37,146,124,103,293
"Hong Kong, China",108,9,20,5327,14,279,121,262
Switzerland,390,156,159,148,54,103,253,151
Greece,267,0,0,1,5,3,212,141
Mauritania,0,0,0,29,0,1,2,138
Brazil,97,28,50,28,18,39,104,136
Viet Nam,90,121,0,4,2,1,94,136
Sudan,0,0,0,0,0,1,0,123
Namibia,39,161,19,18,317,13,196,115
Indonesia,342,102,204,157,47,9,168,108
Denmark,88,134,115,4,33,4,4,95
Czech Republic,400,135,9,8,1346,15,24,89
Norway,50,14,13,0,15,0,16,74
Romania,51,0,5,24,20,35,22,73
Andorra,0,0,1,0,0,0,0,72
Congo,5,1,24,4,0,1,12,68
Luxembourg,1,0,1,4,46,41,13,59
Cameroon,8,2,5,3,11,2,17,44
Slovakia,0,36,1,2,11,0,0,40
Austria,26,1322,12,331,46,0,15,37
Latvia,12,0,0,0,0,0,16,32
Hungary,31,0,4,1,2,17,6,29
Slovenia,0,0,5,0,0,0,116,28
New Zealand,38,0,0,12,12,9,13,27
Israel,3232,1431,71,10,84,205,75,22
Sierra Leone,0,0,0,0,1,0,12,20
Morocco,2,288,102,30,92,1,12,17
Guatemala,0,0,0,0,0,0,1,15
Nigeria,99,56,14,20,5,15,14,14
Burundi,0,0,0,2,72,17,50,13
Ireland,3,11,14,17,15,4,61,12
Lithuania,0,0,0,0,0,0,3,12
Bosnia and Herzegovina,3,0,0,0,0,0,0,11
Saudi Arabia,0,0,14,93,2,0,29,11
Chile,4,16,0,0,0,0,46,10
Estonia,3,0,0,0,0,0,1,9
Senegal,12,4,0,0,8,0,94,9
Bulgaria,7,9,6,10,0,1,0,8
Lesotho,0,0,0,0,0,0,0,8
Cuba,0,0,0,0,0,0,0,7
Croatia,2,0,0,2,5,0,52,6
Egypt,9,3,1,167,179,662,190,6
Botswana,54,0,0,0,4,0,0,5
Mongolia,0,0,17,0,0,0,0,5
Mozambique,0,0,0,7,2,0,0,5
Pakistan,2008,519,1,0,137,51,9,5
Togo,5,0,0,0,0,5,4,5
American Samoa,0,0,0,0,0,0,0,4
Benin,3,1,0,0,0,0,1,4
Tokelau,0,0,0,0,0,0,0,3
Bangladesh,0,6,0,89,51,0,0,3
Mali,1,4,44,0,21,0,0,3
Russian Federation,6,16,2,1,9,1,12,3
Iceland,0,0,0,7,1,0,2,2
Lao People's Democratic Republic,0,0,0,0,0,0,0,2
Mauritius,73,63,96,0,0,4,36,2
Zimbabwe,100,0,16,0,0,0,14,2
Ukraine,11,0,0,13,3,3,44,2
Costa Rica,0,0,0,0,1,0,0,1
Ecuador,0,0,0,0,0,0,0,1
Georgia,1,0,0,0,0,0,0,1
