Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,89,2,8,13,0,0,7,11,0,0,0,0,309,16,0,0,0,0
Belgium,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,309,2,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"Congo, Democratic Republic of the",0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
India,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.108649815,1,1,1,0,0,0.024510411,1,0,0,0,0,1,0.392471945,0,0,0,0
