Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,851,355,341,442,814,725,1054,1126,409,2747,1765,2258,2967,1967,1236,1871,2225,1996
China,202,98,40,119,101,121,187,234,140,540,598,853,856,720,454,738,840,778
Australia,85,62,72,149,165,222,407,422,88,1733,654,548,898,335,219,454,678,650
"Hong Kong, China",73,28,95,34,173,160,179,54,17,78,122,182,95,117,161,153,132,153
Fiji,31,58,21,11,62,78,51,134,61,171,76,192,793,593,111,116,291,100
Singapore,138,34,34,24,69,49,41,55,15,22,33,119,93,30,77,116,81,94
New Zealand,18,3,6,6,11,5,19,10,6,8,51,39,22,20,11,55,75,40
Papua New Guinea,3,0,4,16,17,9,26,62,6,93,105,111,98,27,15,41,26,38
India,4,7,0,5,0,12,12,11,15,16,30,56,32,43,62,0,20,30
United States of America,0,3,0,2,0,0,0,0,0,2,1,0,8,24,0,19,42,27
Japan,1,1,0,3,1,1,9,6,2,1,7,9,4,4,7,27,8,24
Thailand,145,54,66,31,36,50,92,77,39,31,33,93,10,12,57,65,14,15
Malaysia,5,3,0,34,16,1,1,21,5,22,14,6,18,9,17,75,13,11
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,6
Philippines,0,0,0,5,0,6,0,0,0,0,5,28,0,1,8,0,0,6
Indonesia,59,1,1,2,57,5,9,29,6,11,22,6,5,22,7,1,0,4
Italy,0,0,0,0,0,0,0,3,0,2,1,3,4,7,1,0,2,3
"Taipei, Chinese",5,1,0,1,103,2,17,5,0,15,2,0,1,0,1,0,0,3
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Korea, Republic of",80,1,0,0,1,1,1,0,1,2,2,1,1,0,22,6,1,2
Germany,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Canada,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
New Caledonia,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Viet Nam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,8,1,7,0,3,0,0,0,2,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United Kingdom,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
HHI,0.173574015,0.202190657,0.149702426,0.267170053,0.153661536,0.250663764,0.295442481,0.279777561,0.255451665,0.558318594,0.374217131,0.315566718,0.359985259,0.344922096,0.277802116,0.310709628,0.33816174,0.389492126
