Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,6,17,211,461,288,13,11,31
Ukraine,0,0,0,0,0,0,0,11
France,0,0,1,1,2,1,8,4
South Africa,0,1,1,0,0,0,3,4
Rwanda,0,0,2,0,0,1,0,3
Uganda,1,1,191,217,0,0,0,3
"Tanzania, United Republic of",2,0,0,0,0,0,0,3
Nigeria,0,0,0,7,0,0,0,1
United Arab Emirates,0,0,0,0,0,0,0,1
Angola,0,2,10,3,0,0,0,0
Belgium,0,0,0,1,0,0,0,0
Bangladesh,0,1,0,223,0,0,0,0
Burundi,0,0,0,0,87,7,0,0
Cameroon,0,12,0,2,0,0,0,0
Congo,0,0,0,0,3,0,0,0
Benin,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,2,0,0,0
Gabon,0,0,0,0,0,2,0,0
Germany,0,0,0,0,2,0,0,0
Ghana,0,0,0,0,2,0,0,0
Indonesia,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0
Côte d'Ivoire,1,0,1,5,0,1,0,0
Kenya,0,0,0,0,1,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,2,0,0,0
Pakistan,0,0,0,0,172,0,0,0
Senegal,0,0,0,0,0,0,0,0
India,0,0,4,0,0,0,0,0
Zimbabwe,0,0,0,0,9,0,0,0
Spain,0,0,0,0,0,0,0,0
United States of America,0,0,0,1,4,0,0,0
Zambia,2,2,0,0,0,0,0,0
HHI,0.054092553,0.547693804,0.850069661,0.512908345,0.52814937,0.232324821,0.237700389,0.126277547
