Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,6605,6145,7852,9711,8307,4640,5687,7682
Argentina,4127,1398,3906,3309,2402,2223,429,1954
China,17,29,157,19,80,53,53,1725
Belgium,856,1092,2030,870,841,767,1323,1149
South Africa,429,632,491,3757,3055,445,580,846
Paraguay,0,0,156,481,499,327,607,620
France,42,346,400,410,558,421,670,541
Netherlands,46,141,96,432,414,211,99,368
Israel,0,1,0,0,0,0,125,130
Brazil,0,0,0,0,8,51,119,92
Germany,1,1,0,0,1,0,0,72
Antigua and Barbuda,0,0,0,0,0,0,0,68
"Tanzania, United Republic of",0,0,0,0,0,0,928,55
Zambia,178,103,97,112,91,95,607,23
United Arab Emirates,49,18,120,1,33,3,0,13
Angola,0,0,0,23,26,1,0,9
Türkiye,0,2,4,1,59,1,0,9
Namibia,0,0,0,0,0,0,0,4
Switzerland,3,0,10,0,0,0,0,3
Uganda,0,8,0,42,189,29,6,2
Congo,0,128,0,160,0,0,1,1
Austria,0,0,0,0,0,3,0,0
Cameroon,0,1,0,0,0,0,0,0
Canada,0,0,4,24,0,0,0,0
Czech Republic,0,0,6,0,24,0,0,0
Denmark,0,2,0,0,2,0,0,0
"Hong Kong, China",0,0,6,0,0,0,0,0
Indonesia,0,0,0,10,0,0,0,0
Ireland,90,0,0,0,0,0,0,0
Italy,0,0,4,7,1,0,3,0
Japan,2,7,4,0,0,0,0,0
Kenya,29,0,6,1,0,1,127,0
Lao People's Democratic Republic,0,6,0,0,0,0,0,0
Lebanon,73,500,25,5,0,0,0,0
"Taipei, Chinese",0,0,6,0,0,0,0,0
Morocco,0,0,0,0,5,0,7,0
Nigeria,0,0,0,12,0,1,0,0
Pakistan,1,0,0,0,0,0,0,0
Poland,0,0,0,2,0,0,0,0
Portugal,4,50,24,5,0,0,0,0
Russian Federation,543,0,0,0,0,0,0,0
Rwanda,2,0,0,5,6,8,0,0
India,19,36,21,19,2,0,1,0
Singapore,0,0,3,0,0,0,0,0
Viet Nam,0,13,0,0,0,0,0,0
Spain,4,0,0,0,2,2,0,0
Sweden,0,0,1,0,0,0,0,0
Egypt,0,0,0,0,9,0,0,0
United Kingdom,6,0,72,3,0,0,0,0
United States of America,86,1630,201,0,0,0,3,0
HHI,0.552289091,0.261392775,0.460309455,0.408949832,0.352362398,0.386455916,0.172904879,0.233679455
