Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1626,1354,954,772,2871,1464,550,1092
Belgium,53,50,42,77,104,16,70,304
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,116
"Tanzania, United Republic of",15,7,0,8,0,6,0,64
Germany,18,23,13,27,52,13,27,62
Benin,8,10,31,6,14,0,1,59
South Africa,25,23,373,28,759,8,69,55
Lebanon,3,0,2,12,13,1,0,47
Equatorial Guinea,0,0,0,0,0,0,0,40
France,19,37,17,74,55,37,16,40
Malawi,766,2,0,0,2,21,0,40
Togo,6,11,3,17,3,8,12,40
Ukraine,0,0,0,0,0,0,0,33
Kenya,58,14,9,46,7,10,0,25
Nigeria,0,6,8,26,0,0,9,19
Côte d'Ivoire,12,4,23,0,0,9,11,15
Uganda,102,768,8,2,155,4,8,15
Congo,41,1,2,7,72,12,11,14
Cameroon,25,7,6,44,11,0,12,12
Italy,4,0,4,0,2,0,8,12
Chad,0,0,7,0,0,14,6,11
Canada,4,4,1,0,0,0,16,8
Senegal,14,6,11,28,4,4,4,8
Zimbabwe,1,0,0,6,0,0,32,8
Angola,4,14,17,15,9,5,7,7
Greece,6,0,0,0,10,0,0,7
Zambia,12,54,81,10,4,45,1,7
Brazil,0,6,3,0,0,0,0,5
Gabon,28,3,0,3,12,0,4,5
Portugal,0,6,0,0,23,7,6,5
Rwanda,8,83,1,33,1,41,0,4
China,0,0,5,10,0,0,0,2
Haiti,0,0,6,0,0,4,0,2
India,0,30,29,6,14,2,2,1
Switzerland,0,0,2,0,5,0,7,1
Morocco,3,0,0,144,1139,859,0,0
Türkiye,10,0,0,8,9,0,0,0
Algeria,0,6,0,0,0,4,0,0
Australia,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,9,0
Bahamas,0,0,5,0,0,0,0,0
Bangladesh,113,25,0,0,0,0,0,0
Botswana,0,0,2,0,0,0,0,0
Myanmar,0,0,0,5,0,0,0,0
Burundi,0,0,0,0,0,20,0,0
Central African Republic,0,0,0,12,1,0,0,0
Costa Rica,0,0,0,1,0,0,0,0
Croatia,0,0,0,0,0,2,0,0
Denmark,0,0,0,4,5,0,0,0
Djibouti,0,6,0,0,6,0,17,0
Ghana,18,21,14,37,42,189,0,0
Grenada,0,5,0,0,0,0,0,0
Guinea,6,0,7,0,3,8,0,0
Honduras,0,0,0,8,4,0,0,0
"Hong Kong, China",0,0,5,0,0,0,0,0
Indonesia,0,0,0,0,6,0,0,0
Israel,0,7,20,0,132,6,0,0
Japan,0,0,0,0,0,2,0,0
Jordan,8,0,0,0,0,17,0,0
"Korea, Republic of",4,4,8,13,0,3,2,0
Lesotho,0,5,6,0,0,0,0,0
Liberia,0,8,0,0,0,0,0,0
Madagascar,0,0,15,4,0,0,0,0
Mali,0,0,9,5,0,0,10,0
Mauritania,0,0,0,8,0,0,0,0
Mauritius,0,5,4,4,0,0,2,0
Mozambique,0,0,2,0,0,0,10,0
Namibia,1,0,8,9,0,1,3,0
Netherlands,16,21,0,2,4,0,7,0
New Caledonia,0,0,2,0,0,0,0,0
Niger,11,0,0,0,4,0,0,0
Norway,0,0,0,0,0,10,0,0
Pakistan,0,0,0,0,11,18,0,0
Panama,0,2,0,0,0,0,0,0
Guinea-Bissau,7,1,0,8,0,0,0,0
Romania,0,0,14,0,0,0,0,0
Russian Federation,0,0,0,0,3,3,0,0
Saint Kitts and Nevis,0,0,0,0,0,2,0,0
Saint Lucia,0,0,0,0,0,3,0,0
Sierra Leone,0,0,0,5,0,5,0,0
Viet Nam,0,4,0,0,0,0,0,0
Spain,0,12,1,5,9,7,2,0
Sudan,5,0,0,0,0,0,0,0
Sweden,17,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,14,3,0
United Arab Emirates,0,0,0,0,2,0,0,0
Tunisia,0,0,0,0,0,0,34,0
Egypt,152,10,6,0,122,0,4,0
United Kingdom,0,0,82,0,0,2,0,0
United States of America,17,22,19,4,22,19,9,0
Burkina Faso,0,19,23,0,16,0,7,0
Uruguay,8,0,0,0,0,0,90,0
HHI,0.397989638,0.498087635,0.317701998,0.133223112,0.392229099,0.530869403,0.132702076,0.195335823
