Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,90646,83356,72364,83618,39436
Dominican Republic,45989,41130,37667,43015,14057
United States of America,26028,18857,14750,20602,13337
Costa Rica,4743,6626,6586,6263,3490
Türkiye,865,3646,1919,1405,1734
Panama,10,118,370,2963,1678
Jamaica,535,833,4256,2049,899
Mexico,1488,1466,1185,831,644
France,3652,3178,514,1663,643
Colombia,372,549,650,483,371
Trinidad and Tobago,495,844,1077,633,343
Canada,192,727,295,481,333
Guatemala,178,1262,40,56,308
China,2612,1946,1373,659,275
Spain,1442,182,258,653,210
United Kingdom,143,63,0,109,204
Netherlands,82,1021,343,295,181
"Hong Kong, China",0,0,287,543,170
Uruguay,0,0,0,0,153
Germany,63,80,50,214,119
Honduras,0,0,0,0,51
Malaysia,6,48,25,4,50
India,402,171,77,210,45
Chile,340,85,0,27,44
Singapore,0,0,0,0,35
United Arab Emirates,0,66,84,12,22
Belgium,61,264,153,81,8
Italy,15,42,23,29,7
Guyana,0,0,0,0,6
Viet Nam,0,20,16,12,6
Ireland,0,0,0,2,5
Denmark,11,0,1,18,4
Ukraine,0,9,32,64,1
"Venezuela, Bolivarian Republic of",0,0,0,0,1
"Korea, Democratic People's Republic of",2,0,0,0,0
Algeria,0,0,15,6,0
Argentina,149,0,0,0,0
Bahamas,34,4,27,164,0
Barbados,78,0,0,0,0
Brazil,154,59,125,2,0
Croatia,0,0,4,0,0
Cuba,0,0,33,0,0
Czech Republic,0,0,0,23,0
Ecuador,0,2,0,0,0
Gabon,0,0,0,5,0
Georgia,0,0,0,3,0
Indonesia,410,0,0,0,0
Israel,2,0,112,0,0
Japan,1,0,12,0,0
Jordan,1,0,0,0,0
Madagascar,0,1,0,0,0
Curaçao,0,0,0,5,0
Norway,0,0,0,20,0
Pakistan,0,0,0,1,0
Peru,23,0,0,0,0
Poland,0,0,0,10,0
Portugal,1,31,0,0,0
South Africa,0,0,6,0,0
Eswatini,0,6,0,0,0
Switzerland,0,2,0,1,0
Thailand,0,16,0,1,0
Egypt,67,0,0,0,0
HHI,0.504261327,0.458899648,0.480561917,0.498555564,0.400077741
