Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1202,0,850,3097,1440,2912,2571,4451,2244,1216,3149,2204,13341,2708,3168,3570,4174,3207
Cameroon,23,0,298,267,512,250,13,1056,504,314,807,551,1082,410,1067,2336,2337,1515
China,959,0,181,136,21,268,61,757,636,227,308,348,2262,859,816,280,527,685
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,269,0,125,139,245,268
Congo,0,0,0,0,0,0,0,0,0,0,0,0,152,2,270,62,133,247
Turks and Caicos Islands,0,0,0,67,102,465,0,654,234,0,235,425,249,0,2,184,0,144
Lebanon,1,0,51,61,0,183,13,1,1,74,0,0,80,0,0,0,0,39
Spain,26,0,0,1071,233,890,216,0,0,25,0,0,0,91,83,363,715,7
France,158,0,16,786,19,169,1106,744,308,82,83,171,76,328,31,17,57,6
United Arab Emirates,0,0,0,0,3,0,0,20,0,0,1046,1,19,8,7,1,26,1
Caribbean Nes,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,73,0,0
Belgium,6,0,76,316,51,18,106,97,157,0,67,0,0,3,198,41,0,0
Brazil,0,0,21,58,112,0,20,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Congo, Democratic Republic of the",0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,16,0,0,0,0,0,18,573,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0
Germany,0,0,0,0,0,0,176,0,0,0,0,5,0,1,0,0,15,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Italy,0,0,0,7,0,0,271,0,0,0,0,0,586,142,167,7,113,0
Côte d'Ivoire,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,113,450,287,811,0,0,5,0,0,0,1,0,0,0
Jordan,0,0,0,166,265,0,0,0,147,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,135,0,0,0,0,109,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Senegal,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,109,162,0,219,9,299,251,494,500,529,78,70,144,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0
South Africa,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,13,0,0,0,12,37,3,10,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,58,38,0,0,0,0
United Kingdom,0,0,0,0,10,0,0,0,0,0,0,0,8315,2,0,0,0,0
United States of America,0,0,0,0,0,0,73,0,0,0,97,0,0,0,3,0,0,0
HHI,0.713960773,0,0.162900284,0.225336175,0.217159186,0.121446299,0.319962129,0.145741937,0.140257098,0.196679416,0.201091158,0.19436134,0.532576849,0.2509284,0.277778223,0.544408706,0.420112873,0.328259935
