Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,81,64,51,79,124,146,154,158,97,204,293,251,482,223,350,270,258,346
China,1,5,3,12,13,10,22,84,32,52,136,74,119,159,125,187,72,280
Australia,58,18,14,30,58,46,53,23,43,137,55,152,257,38,147,41,70,32
"Hong Kong, China",0,0,14,1,6,23,8,13,1,4,17,16,29,2,41,13,62,25
New Zealand,4,9,0,4,23,19,15,24,5,8,14,7,9,5,20,7,3,7
Malaysia,0,29,16,16,17,38,20,1,0,0,3,0,0,1,0,1,1,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Belgium,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,1,0,0,0,0,0,13,19,0,19,0,0
France,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Japan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"Korea, Republic of",2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Papua New Guinea,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,15,2,1,12,6,10,33,9,9,0,66,0,15,0,0,1,24,0
Thailand,0,0,1,0,0,0,1,1,1,0,0,0,37,0,15,0,20,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
HHI,0.532855432,0.200277177,0.202191245,0.203582614,0.216454815,0.099387506,0.168531445,0.35131465,0.326713977,0.493120967,0.310473954,0.415916835,0.396011591,0.579511581,0.218745902,0.541251415,0.210254793,0.670704884
