Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,9183,6793,4645,4083,2831
China,2950,2366,1425,1082,921
United States of America,2260,2562,1975,1755,798
"Hong Kong, China",1800,693,254,543,643
Panama,436,503,300,246,169
Canada,75,94,233,140,96
France,648,69,80,100,40
Spain,645,127,34,18,40
"Taipei, Chinese",41,46,95,3,32
India,70,44,87,71,28
Mexico,46,5,1,2,12
Netherlands,2,16,4,35,8
Viet Nam,0,0,0,0,8
Dominican Republic,64,108,19,16,7
Peru,0,0,0,0,7
Brazil,8,15,7,0,5
Italy,16,2,8,10,4
Germany,47,5,15,6,3
Trinidad and Tobago,0,0,0,0,3
Gabon,0,0,0,0,2
Switzerland,0,4,2,2,2
Ireland,0,23,0,0,1
Curaçao,0,0,1,0,1
Antigua and Barbuda,4,0,1,0,0
Bahamas,7,0,1,0,0
Belgium,13,3,10,2,0
Colombia,0,0,30,0,0
Costa Rica,0,0,9,0,0
Cuba,0,59,0,0,0
Benin,1,0,0,0,0
Denmark,0,0,4,1,0
Georgia,1,0,0,0,0
Jamaica,24,4,25,32,0
Jordan,3,0,0,0,0
"Korea, Republic of",0,0,0,9,0
Luxembourg,0,1,0,0,0
Mozambique,0,0,0,1,0
New Caledonia,0,33,19,0,0
Niger,0,0,1,0,0
Pakistan,0,0,2,0,0
Eswatini,1,7,0,7,0
Thailand,0,0,3,1,0
United Kingdom,18,0,0,1,0
HHI,0.325609821,0.405770091,0.426188322,0.40338732,0.354617036
