Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,27722,31663,27323,30069,21241
United States of America,7074,7061,5895,4892,4129
China,3994,5791,5784,7716,3968
Dominican Republic,1721,2672,2018,1764,2149
India,4238,5344,4471,4315,2071
Spain,1536,2393,1853,2848,1785
Ireland,0,181,0,1460,1441
France,2282,2669,2033,1596,1111
"Hong Kong, China",26,470,41,127,1081
Côte d'Ivoire,194,447,643,419,804
South Africa,531,815,1046,1418,773
Panama,939,875,640,677,250
Türkiye,484,347,631,556,191
Slovenia,0,0,0,6,187
United Kingdom,267,451,353,91,175
Nigeria,0,0,0,19,153
Canada,607,349,454,192,131
Costa Rica,117,0,17,0,126
Mexico,111,4,57,17,120
Belgium,31,107,4,466,107
Indonesia,866,723,587,487,89
Germany,71,101,79,159,87
Italy,10,21,5,11,53
Lebanon,38,25,108,47,48
Jamaica,1555,11,179,154,42
Chile,12,25,22,16,29
United Arab Emirates,0,0,0,33,25
Guatemala,60,62,58,47,24
Switzerland,102,101,58,162,23
Bangladesh,0,0,0,0,22
Brazil,0,13,11,16,14
Ukraine,0,1,0,0,11
Slovakia,0,0,0,218,7
Netherlands,82,0,27,16,5
Colombia,10,8,1,27,3
Denmark,3,5,0,0,3
Guyana,30,43,0,0,3
Honduras,6,0,3,30,2
Cuba,0,0,0,23,1
Argentina,497,100,0,0,0
Bahamas,4,23,0,0,0
Sri Lanka,0,0,5,0,0
Iceland,1,0,0,0,0
Israel,0,0,0,6,0
Jordan,7,0,0,0,0
"Korea, Republic of",0,2,0,0,0
Liberia,0,0,0,6,0
Luxembourg,1,6,8,20,0
Malaysia,0,0,6,0,0
Morocco,45,19,5,0,0
Oman,21,0,0,0,0
Curaçao,5,9,37,0,0
Pakistan,0,0,0,1,0
Senegal,68,332,20,9,0
Singapore,42,5,0,0,0
Viet Nam,0,14,22,1,0
Eswatini,0,0,0,0,0
Trinidad and Tobago,32,34,144,1,0
"Venezuela, Bolivarian Republic of",4,2,0,0,0
HHI,0.242064683,0.247993137,0.245538244,0.247781499,0.207218036
