Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,9046,9547,8986,16571,12377
China,3423,4480,4001,6824,6284
United States of America,1511,1496,1752,3225,1953
India,1321,1104,571,1869,1033
"Hong Kong, China",75,270,345,607,589
France,561,505,473,640,433
Mexico,350,173,419,999,337
Dominican Republic,406,386,261,768,316
Brazil,22,63,2,500,227
Türkiye,7,4,0,381,212
Denmark,1,232,1,9,178
Panama,536,303,305,162,128
Germany,94,144,72,109,103
Jordan,106,118,102,62,96
Trinidad and Tobago,14,0,0,1,75
Netherlands,1,0,73,13,58
Austria,49,44,17,13,57
Peru,97,77,56,62,55
Belgium,9,0,1,31,46
Indonesia,2,0,0,0,31
Canada,26,9,28,28,29
Guatemala,0,0,15,2,27
Bangladesh,0,0,0,0,22
"Korea, Republic of",1,6,1,0,19
Costa Rica,0,0,0,0,17
Colombia,9,1,17,103,15
Australia,1,4,0,0,11
"Taipei, Chinese",3,9,7,0,8
Japan,1,3,0,4,5
Spain,5,6,3,12,3
United Kingdom,4,4,40,16,3
Chile,0,0,0,0,2
Jamaica,282,11,18,11,2
Kenya,0,0,0,0,1
United Arab Emirates,13,7,0,13,1
Ukraine,0,0,0,0,1
"Korea, Democratic People's Republic of",0,2,0,0,0
Argentina,1,0,0,0,0
Bahamas,1,0,0,0,0
Barbados,0,0,0,22,0
Honduras,0,5,0,2,0
Israel,1,0,0,7,0
Italy,38,9,4,14,0
Liberia,0,0,0,1,0
Malaysia,28,0,20,0,0
Mozambique,0,0,0,1,0
Curaçao,5,0,6,0,0
Pakistan,0,0,0,25,0
Paraguay,0,0,4,0,0
Philippines,0,0,12,0,0
Portugal,11,2,0,0,0
Viet Nam,0,20,16,29,0
South Africa,0,0,327,0,0
Eswatini,8,46,0,3,0
Sweden,21,0,0,0,0
Switzerland,1,1,10,1,0
Thailand,0,0,3,0,0
HHI,0.348129708,0.411567757,0.395088242,0.376072448,0.451020663
