Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,52922,38047,28309,25093,26258,15679,23422,35978
China,43149,30871,22091,15405,16894,9688,15172,15309
Netherlands,6328,5607,4268,6601,7985,4567,7071,14549
India,1223,745,1120,1941,637,676,769,4702
Belgium,34,19,8,1,34,609,36,506
Kenya,26,4,3,41,91,34,148,370
Côte d'Ivoire,363,184,8,401,366,0,116,320
United Arab Emirates,437,12,3,6,0,2,2,63
Uganda,7,246,323,390,1,1,0,51
Türkiye,8,1,0,1,0,6,1,23
South Africa,6,3,15,7,18,4,6,17
Angola,0,0,0,2,0,2,0,15
Zambia,18,1,0,1,0,1,3,12
Lebanon,6,0,1,0,0,2,1,10
Rwanda,3,0,0,0,0,0,2,6
France,1,0,0,0,0,0,0,5
"Korea, Republic of",0,0,0,0,0,0,0,4
Thailand,0,0,0,0,0,0,0,4
Denmark,0,0,0,0,6,19,2,3
Gabon,0,3,0,2,0,0,11,3
Cameroon,0,1,0,0,0,0,0,1
Congo,0,0,0,0,0,0,0,1
Ghana,303,304,337,293,222,50,63,1
Greece,0,0,0,0,0,0,0,1
Nigeria,1,0,0,0,0,0,0,1
"Tanzania, United Republic of",99,4,0,1,0,0,0,0
United States of America,0,0,0,0,0,15,0,0
Australia,2,1,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,9,0
Benin,52,0,0,1,0,0,0,0
Georgia,82,0,0,0,0,0,0,0
"Hong Kong, China",583,0,6,0,0,1,0,0
Italy,0,2,0,0,3,0,0,0
Malaysia,27,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,1,0
"Taipei, Chinese",0,38,0,0,0,0,0,0
Singapore,5,0,0,0,0,0,0,0
Spain,6,0,0,0,0,0,0,0
Switzerland,151,0,125,0,0,0,7,0
Togo,0,0,0,0,0,0,1,0
HHI,0.780687973,0.771001902,0.717637189,0.56378692,0.588027066,0.580779301,0.630759253,0.499558543
