Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,4851,3194,2012,1692,2986,3591,2856,4202
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,807
Belgium,100,30,178,331,579,353,947,790
Switzerland,20,49,52,28,32,3,8,371
India,0,16,54,13,258,4,2,351
Türkiye,0,0,0,13,30,1,1,225
South Africa,31,6,8,42,68,66,16,181
Zambia,0,60,63,25,4,3,2,144
"Tanzania, United Republic of",0,15,0,5,0,0,103,122
Uganda,1,1650,54,158,488,58,50,117
United States of America,108,26,50,51,84,159,104,117
France,16,41,22,28,61,48,75,112
Gabon,5,76,0,3,8,41,108,92
Netherlands,10,4,22,1,14,0,2,83
United Kingdom,10,0,1,3,3,3,4,77
Senegal,6,2,13,4,25,25,33,58
Mozambique,0,0,0,0,13,45,4,54
Côte d'Ivoire,6,2,8,5,1,829,14,50
Canada,0,0,10,106,0,4,24,48
Kenya,2,5,2,50,11,5,10,47
Ethiopia,0,0,0,2,15,11,15,37
Ghana,1,13,6,23,8,2,2,32
Rwanda,13,0,1,9,41,149,37,32
Burundi,4194,815,1152,309,405,7,8,27
Sierra Leone,0,0,0,1,0,3,0,24
"Korea, Republic of",2,1,2,3,0,2,0,19
Zimbabwe,0,0,0,1,12,0,82,19
Congo,9,0,17,105,45,32,5,18
Jordan,0,0,0,0,0,1,0,15
Lebanon,0,0,3,3,0,2,0,14
Nigeria,22,1,2,0,0,0,11,14
Iraq,0,0,0,0,0,0,0,13
Angola,57,10,24,13,51,3,2,10
Norway,0,0,0,0,0,0,6,10
Poland,0,10,0,1,0,0,0,10
Tunisia,0,0,1,1,0,0,21,10
Italy,3,5,8,3,0,2,2,8
Israel,0,1,1,0,27,2,4,6
Mali,0,6,2,1,11,0,1,6
Luxembourg,0,0,0,0,0,0,0,4
Malta,0,0,0,0,0,0,2,4
Egypt,0,2,1,24,0,0,0,4
Benin,2,3,2,3,3,0,1,2
Hungary,0,0,0,0,0,0,0,2
Oman,0,0,0,0,0,0,0,2
Spain,49,0,50,44,2,2,1,2
Sweden,0,0,0,2,4,4,0,2
Bulgaria,0,0,0,0,0,0,78,1
Cameroon,6,12,2,8,5,0,2,1
Greece,2,0,0,0,4,1,7,1
Haiti,0,0,6,3,0,1,0,1
Niger,5,0,2,1,2,5,0,1
Togo,3,14,19,2,1,3,0,1
United Arab Emirates,30,17,0,1,1,0,2,1
Burkina Faso,0,2,0,1,1,0,0,1
Gambia,0,0,0,0,0,0,0,0
Malawi,26,1,0,1,0,0,0,0
Morocco,0,0,0,0,2,1347,0,0
Chad,0,0,4,0,1,5,19,0
"Korea, Democratic People's Republic of",0,0,0,0,1,0,0,0
Afghanistan,0,0,0,0,11,1,0,0
Algeria,0,2,0,0,0,5,1,0
Australia,0,40,0,0,5,55,0,0
Austria,0,0,0,0,2,0,0,0
Bahamas,0,0,1,0,0,0,0,0
Bangladesh,0,108,32,67,488,243,434,0
Botswana,0,0,5,0,0,0,0,0
Brazil,0,3,4,0,0,0,1,0
Brunei Darussalam,0,0,0,1,0,0,0,0
Myanmar,0,0,0,2,0,0,0,0
Central African Republic,0,0,0,0,5,0,0,0
China,2,0,1,5,42,7,0,0
Colombia,0,0,0,2,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0
Denmark,0,0,0,2,2,0,4,0
Dominican Republic,0,0,0,0,0,4,0,0
El Salvador,0,0,0,0,0,0,2,0
Finland,0,0,0,0,0,0,0,0
Djibouti,0,1,0,0,10,0,0,0
Germany,36,100,38,51,36,23,7,0
Grenada,0,4,0,0,0,0,0,0
Guinea,45,0,5,7,2,0,37,0
Honduras,0,0,0,0,2,0,0,0
"Hong Kong, China",0,0,1,0,0,0,0,0
Indonesia,0,0,47,84,2,0,271,0
Japan,0,0,1,0,0,5,0,0
Lesotho,0,9,0,0,0,0,0,0
Liberia,0,2,0,0,3,0,3,0
Lithuania,0,0,0,21,0,0,0,0
Madagascar,0,6,5,0,1,0,0,0
Malaysia,0,0,15,0,0,0,0,0
Mauritania,0,0,0,1,0,0,1,0
Mauritius,0,9,1,1,2,0,2,0
Namibia,5,0,2,6,0,2,0,0
Pakistan,0,0,0,0,45,5,0,0
Portugal,0,1,0,1,0,0,0,0
Guinea-Bissau,3,4,0,0,0,0,0,0
Romania,0,0,2,0,0,0,0,0
Russian Federation,0,0,0,0,1,1,9,0
Saint Kitts and Nevis,0,0,0,0,0,7,0,0
Saint Lucia,0,0,0,0,0,1,0,0
Serbia,0,0,0,0,1,0,0,0
Singapore,13,0,0,0,0,0,0,0
Viet Nam,0,2,0,6,0,0,0,0
Sudan,4,2,0,0,1,0,7,0
Thailand,0,7,0,0,0,4,1,0
Trinidad and Tobago,0,0,0,0,0,0,2,0
"Macedonia, North",0,0,0,0,0,0,2,0
Uruguay,3,0,7,0,0,0,256,0
HHI,0.838514025,0.506883502,0.516337241,0.207755405,0.246302255,0.373372182,0.303856909,0.205521496
