Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,67,59,36,47,198,35,37,40,14,6,6,6,6,27,11,31,42,137
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,115
France,47,42,34,43,33,35,6,40,14,6,6,6,6,27,6,31,20,19
Cameroon,20,6,2,4,0,0,7,0,0,0,0,0,0,0,0,0,3,2
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chad,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
United States of America,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HHI,0.188659088,0.391619236,0.815895431,0.722914469,0.633029066,1,0.008375353,1,1,1,1,1,1,1,0.009955562,1,0.159158103,0.701904297
