Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,34222,37054,41234,51296,51900,57379,57363,68596
China,10336,12933,10623,14083,22363,30359,29903,33140
Viet Nam,1839,5144,14139,16180,16872,16501,15402,20966
Belgium,570,2095,2378,1150,995,744,2070,2815
France,3067,2586,1057,2388,1601,1461,1541,2008
Pakistan,299,892,886,2546,1084,1106,1829,1753
Portugal,2377,1475,1382,1665,695,765,1241,1018
Spain,412,259,50,251,111,153,164,945
United Arab Emirates,340,143,614,514,508,462,152,917
"Taipei, Chinese",1244,969,829,1670,480,737,723,798
Uganda,2319,922,2473,2969,1938,1944,1079,671
Canada,12,0,1,178,313,254,492,511
Türkiye,262,242,87,227,113,137,178,373
Italy,326,240,472,417,247,102,160,343
Dominican Republic,0,0,0,128,455,301,516,334
India,1219,767,504,993,311,146,277,319
"Tanzania, United Republic of",40,60,82,28,0,0,56,284
Egypt,33,18,10,36,167,220,97,271
Malaysia,52,175,242,614,649,798,503,188
Indonesia,45,23,33,736,313,96,19,141
Japan,177,267,139,242,152,114,73,115
Saudi Arabia,0,62,0,19,91,198,154,113
Rwanda,493,212,107,254,232,285,209,102
United States of America,675,764,237,152,119,69,59,81
Lebanon,364,847,374,299,86,72,0,68
South Africa,83,35,109,66,78,52,19,67
Germany,34,88,108,2,15,0,9,52
Morocco,383,103,41,257,0,0,0,50
Greece,86,81,14,28,27,24,66,40
Kuwait,0,0,0,0,19,93,0,37
Mauritania,0,0,0,1,0,0,13,22
Jordan,0,17,0,39,17,30,0,15
Senegal,0,0,0,0,0,0,6,11
Kenya,6275,4587,2663,2483,838,11,0,8
Angola,71,46,41,34,19,0,5,7
Thailand,73,9,119,31,0,9,25,7
Burundi,0,0,0,5,5,1,0,2
Gabon,0,0,0,0,0,0,0,2
Slovakia,0,0,2,0,30,0,0,1
Zambia,38,440,0,0,4,2,1,0
Chad,0,0,0,0,0,2,0,0
"Korea, Democratic People's Republic of",0,124,66,16,0,0,22,0
Albania,0,0,0,87,0,0,0,0
Algeria,9,0,0,13,0,0,162,0
Australia,0,0,17,19,9,0,0,0
Bangladesh,0,0,77,0,0,0,0,0
Barbados,0,0,0,14,17,0,0,0
Brunei Darussalam,8,0,0,0,0,0,0,0
Bulgaria,9,0,0,34,0,0,0,0
Cambodia,0,0,274,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0
Cabo Verde,55,0,0,0,0,0,0,0
Congo,0,0,0,2,0,0,0,0
Croatia,0,13,0,0,0,0,0,0
Cuba,0,0,0,0,24,0,0,0
Cyprus,0,0,17,0,0,0,0,0
Czech Republic,16,0,6,0,0,0,0,0
Benin,2,0,14,0,0,0,0,0
Denmark,90,66,36,0,20,22,16,0
Dominica,0,0,0,47,0,0,0,0
Ghana,0,0,0,1,0,0,0,0
Greenland,0,0,41,0,0,0,0,0
Haiti,0,0,1,0,0,0,0,0
"Hong Kong, China",50,0,115,0,0,0,0,0
Iraq,0,43,49,14,0,0,0,0
Ireland,0,0,142,15,0,0,0,0
Israel,0,0,0,0,1,0,0,0
Côte d'Ivoire,0,0,2,0,0,6,0,0
Jamaica,0,0,0,13,0,12,0,0
"Korea, Republic of",75,91,21,14,15,13,40,0
Kyrgyzstan,0,0,0,14,0,0,0,0
Mauritius,0,0,0,0,39,0,0,0
Mexico,0,0,0,14,19,0,0,0
Oman,10,0,0,0,0,0,0,0
Netherlands,0,0,15,0,0,14,14,0
Philippines,4,0,0,0,0,0,0,0
Poland,0,0,6,39,17,0,0,0
Guinea-Bissau,0,0,0,1,0,0,0,0
Qatar,21,0,11,47,101,0,0,0
Seychelles,8,30,0,33,13,0,0,0
Singapore,19,0,0,0,0,0,0,0
Slovenia,9,0,0,0,11,21,68,0
Switzerland,7,0,0,0,623,2,0,0
Syrian Arab Republic,0,0,0,89,0,0,0,0
Tunisia,0,0,0,19,30,0,0,0
Turks and Caicos Islands,0,57,0,0,0,42,0,0
United Kingdom,286,127,27,56,0,0,0,0
Uruguay,0,0,479,13,13,0,0,0
HHI,0.281899138,0.299959485,0.354340271,0.348292839,0.466817868,0.530512687,0.509424137,0.493145879
