Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,473,207,100,0,0,0,0,0,0,0,2058,2607,3372,2147,3126,1913,1451,2254
Congo,9,8,0,0,0,0,0,0,0,0,232,314,274,124,774,746,794,1834
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,1695,2190,2986,1820,2262,1018,385,359
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,5,5,26
Netherlands,0,0,0,0,0,0,0,0,0,0,7,1,30,4,0,0,3,11
Portugal,68,0,0,0,0,0,0,0,0,0,13,5,2,1,4,4,24,4
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
France,44,27,1,0,0,0,0,0,0,0,7,6,5,1,16,1,19,2
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
South Africa,345,165,9,0,0,0,0,0,0,0,17,1,1,3,6,3,17,2
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
China,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kenya,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
Namibia,0,0,0,0,0,0,0,0,0,0,0,45,0,1,1,1,8,1
Spain,0,0,0,0,0,0,0,0,0,0,53,0,2,3,2,4,4,1
United States of America,2,0,0,0,0,0,0,0,0,0,3,0,11,19,3,3,19,1
Belgium,0,6,0,0,0,0,0,0,0,0,5,3,4,1,0,0,98,0
Brazil,0,0,0,0,0,0,0,0,0,0,4,12,0,2,3,0,9,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ethiopia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,27,1,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,11,7,1,0,1,11,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Argentina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Canada,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
