Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,8,0,0,0,0,0,0,0,0,0,435,99,716,922,480,413,173,438
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,435,25,715,638,191,393,55,215
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,193
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,141,185,11,93,16
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,4
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Spain,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
United Kingdom,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
HHI,1,0,0,0,0,0,0,0,0,0,1,0.279528458,0.99523488,0.434398898,0.160871021,0.886770494,0.440701498,0.386788372
