Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,23914,27604,34204,50350,111724,112476,93733,139070,105073,122473,45410,40149,51696,54827,50187,49296,83153,126584
China,1323,1812,4014,7180,19451,27280,20578,33163,28726,36073,17132,8581,12839,18903,13976,28388,62502,98126
Portugal,9618,12917,12375,12318,29655,30961,35794,64840,36530,33784,13934,16793,19439,20023,17710,7572,8005,9516
United Arab Emirates,2650,1865,3065,5292,16329,9104,1319,5223,5087,2900,1456,498,694,837,686,296,1316,5549
United States of America,227,363,1242,3640,5483,7747,8312,4385,11169,6429,1960,1578,1142,854,1061,1032,432,1897
Türkiye,392,0,8,652,647,660,938,1171,851,975,551,669,1256,846,1299,1605,1719,1562
South Africa,1347,2042,2240,4791,10226,6807,7135,5876,4420,5299,1823,3759,3730,1402,1048,2005,1744,1380
United Kingdom,39,322,196,529,808,1561,628,1601,825,997,268,483,627,386,392,646,788,1364
Egypt,0,0,32,75,907,53,178,455,155,286,72,102,117,0,205,315,694,958
India,169,20,27,133,144,204,84,269,255,586,1152,1360,775,2240,4414,2175,754,944
Belgium,1003,1953,471,963,875,4533,786,2229,3887,4107,1255,1348,1748,1926,840,559,956,799
France,156,83,2764,269,2645,952,1329,1520,1236,1617,697,348,324,690,936,216,480,729
Germany,108,352,94,179,568,196,249,657,503,365,182,225,228,197,366,339,159,536
Brazil,1705,1751,4805,3720,10457,4833,2814,6458,2006,5744,967,386,3851,2832,1324,624,214,362
Spain,57,296,183,349,1168,1168,2455,1091,2394,1884,488,173,1177,893,1159,364,227,339
Singapore,470,157,26,41,355,790,689,1035,484,1358,558,402,64,521,187,231,155,328
Malaysia,128,0,154,11,5,5,49,79,59,110,30,174,93,523,1043,470,493,271
Italy,24,67,23,179,429,799,615,929,946,1140,679,544,537,277,188,170,424,251
Thailand,15,0,19,521,78,292,222,98,133,51,2,8,12,10,6,1,94,224
"Korea, Republic of",226,1094,307,268,1393,563,1492,609,1980,1922,314,136,212,121,18,38,21,155
Pakistan,0,0,0,0,0,0,14,3,13,2,0,0,0,1,3,3,9,142
Indonesia,12,226,274,189,394,223,168,257,43,77,20,85,99,56,81,71,52,132
Namibia,4,0,0,313,4101,460,2327,1742,588,371,60,24,37,19,27,35,41,128
Japan,129,297,210,211,1102,3371,2880,1393,580,153,89,107,51,53,152,207,239,107
Saudi Arabia,0,0,0,1,204,246,120,215,150,168,28,40,57,83,98,0,33,104
Switzerland,4,4,0,44,24,1412,60,63,56,47,61,528,28,49,20,22,6,94
Oman,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,79
Congo,23,10,4,103,234,81,55,10,5,8,1,81,3,3,20,25,28,77
Nigeria,109,77,591,16,10,0,14,10,2,0,1,5,8,5,46,38,3,63
"Hong Kong, China",0,7,12,449,126,2336,40,126,73,345,533,36,21,273,25,39,46,38
Norway,0,0,0,354,11,26,163,24,65,86,1,453,1373,31,1028,572,10,36
Netherlands,542,1132,336,315,188,93,191,567,453,122,130,225,243,81,827,195,38,31
Panama,0,0,0,54,16,21,0,0,100,2,86,43,98,1,0,0,0,31
Sweden,36,56,41,89,174,191,212,216,176,136,26,25,17,21,25,23,31,31
Sri Lanka,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,393,347,23
Ecuador,0,0,0,0,0,0,0,49,0,0,0,0,0,0,4,0,0,23
