Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,9054,6104,6297,6852,5043,2844,2160,6091,3437,4262,6883,6829,5809,12161,32913,52286,62489,61213,50864,51186
Togo,87,94,101,259,161,367,154,100,6,0,0,0,33,124,1152,395,58,0,2428,13216
Denmark,3608,2532,53,3323,3084,0,0,0,0,0,0,0,0,0,17593,33123,29804,31552,23757,11025
Burkina Faso,30,7,0,0,0,0,0,0,0,0,0,0,0,3,953,5840,7890,8909,8585,6711
China,0,0,0,0,0,0,0,0,268,143,419,335,0,10,37,22,28,7314,8047,5172
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,162,239,492,1878,5083
India,135,0,25,481,173,177,58,258,779,1221,2666,1717,1837,3753,5882,6926,12806,10621,2183,3550
Nigeria,137,113,57,78,91,159,177,355,0,176,402,506,641,916,1362,2143,57,325,14,1415
Türkiye,0,0,1221,593,0,0,0,19,0,0,34,5,3,0,167,1580,0,379,1680,1220
Saudi Arabia,496,0,0,0,0,0,0,0,0,0,0,215,330,536,0,5,0,0,801,954
Niger,412,0,0,0,0,0,0,424,0,0,0,97,14,176,156,80,58,742,214,820
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,627
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,416
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,16,164,0,231
Belgium,0,0,0,0,0,42,0,412,26,115,0,0,0,163,52,0,7,0,1,167
Peru,0,0,146,193,192,117,401,41,0,0,0,0,0,0,0,0,0,0,0,117
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,111
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,79
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,75
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,126,290,0,22,34,0,46,0,0,73
France,92,168,79,523,0,191,194,0,105,123,9,13,5,17,45,59,54,4,101,29
Spain,1259,0,385,0,0,0,0,9,186,973,615,335,677,2566,338,168,545,33,0,26
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Ghana,130,113,164,214,168,68,20,19,98,202,273,257,180,28,6,408,89,49,16,15
Thailand,0,100,79,116,0,44,320,341,216,296,368,15,17,303,83,8,0,0,13,15
"Congo, Democratic Republic of the",0,0,0,0,47,89,0,0,148,287,268,38,153,2,144,427,108,50,0,11
Guinea,0,0,0,64,70,0,0,0,0,94,0,67,36,51,38,9,0,0,2,3
Liberia,0,0,0,0,0,0,0,0,1028,388,375,780,53,3,85,0,22,0,4,2
Senegal,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cameroon,0,0,95,16,0,0,0,0,0,0,0,0,56,126,61,0,0,0,0,1
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gabon,0,131,0,0,109,95,73,68,0,62,122,290,644,800,56,1,2,0,2,1
Equatorial Guinea,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
Angola,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,38,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,30,0,83,0,0,12,0,0,0,18,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,147,15,0,36,0,64,0,4,2,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0
Colombia,308,500,555,55,510,681,403,13,42,0,0,0,0,0,6,0,0,0,0,0
Congo,2,0,0,0,0,0,4,0,162,0,0,682,0,0,0,0,1,18,7,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Ecuador,109,0,192,147,427,304,81,304,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,96,0,0,0,3,0,0,0,1,0
Grenada,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
Honduras,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,4,4,0,0,202,0,0,0,0,0,0,0,0
Indonesia,54,19,0,0,0,0,0,0,0,0,0,0,0,36,106,0,0,0,0,0
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Israel,0,0,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Italy,657,362,110,18,0,0,0,3717,0,0,0,133,626,703,0,0,14,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,77,123,0,31,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,90,0,122,0,2,39,0,0,0,0,0
Madagascar,0,0,0,0,9,0,0,0,91,0,0,15,0,0,49,0,0,0,0,0
Malaysia,0,0,0,0,0,317,0,0,0,0,183,61,0,0,23,11,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,4,0,0,0,0
"Moldova, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,152,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,2,9,0,7,8,6,4,0,0
Netherlands,0,0,0,0,1,3,0,0,0,0,105,29,0,0,1,127,109,0,0,0
Pakistan,30,0,0,0,0,0,0,0,0,0,0,3,0,0,396,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Portugal,2,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0
Sierra Leone,0,0,0,0,0,0,0,0,96,0,22,41,108,238,463,0,0,30,0,0
Singapore,0,0,0,0,0,0,0,8,0,0,0,12,226,0,0,0,0,0,137,0
Viet Nam,0,0,0,0,0,0,0,0,21,0,78,0,0,1111,3185,89,757,439,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,500,465,0,72,12,0,0,49,0,0
Sweden,794,1928,3033,753,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0
Switzerland,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,19,0,0,0
United Kingdom,677,9,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8749,35,4,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
