Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,6284,2049,1975,1864,2706,2658,3688,7854
China,4614,1620,1674,1365,1212,1113,2338,4739
Japan,0,0,0,0,694,804,942,2050
United Arab Emirates,418,40,16,22,10,30,72,397
India,243,142,177,175,144,47,194,311
Türkiye,86,2,0,0,15,0,0,76
Angola,0,0,0,0,1,0,0,66
Italy,0,0,0,0,0,0,0,51
Pakistan,0,0,0,0,0,0,0,33
Spain,8,0,0,0,0,0,0,33
South Africa,155,17,14,11,29,32,17,29
Zambia,28,19,6,3,8,26,32,23
Kenya,310,1,0,0,0,0,3,13
Lebanon,83,0,0,0,0,0,1,11
United States of America,21,0,1,1,455,436,1,9
France,0,0,0,1,1,0,1,4
"Tanzania, United Republic of",18,0,0,0,0,0,0,3
"Korea, Republic of",70,55,11,29,19,2,16,2
Uganda,48,9,6,6,1,3,2,2
Togo,0,0,0,0,0,23,0,1
Egypt,0,0,0,0,0,0,1,1
Australia,0,0,0,6,0,0,0,0
Belgium,73,0,1,0,0,0,0,0
"Hong Kong, China",32,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,32,0
"Taipei, Chinese",52,141,70,55,114,139,34,0
Netherlands,14,0,0,0,0,0,0,0
Nigeria,0,0,0,190,0,0,0,0
Switzerland,0,3,0,0,1,0,0,0
Thailand,8,0,0,0,0,1,0,0
United Kingdom,0,0,1,0,0,0,0,0
HHI,0.660966787,0.710004051,0.789765718,0.643161541,0.382110978,0.360619219,0.57666664,0.563050069
