Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,5253,32735,6180,7280,14381,2090,7775,11862,6981,32014,38561,34086,18738,23262,57965,10538,18370,24343,30052,19116
South Africa,4699,32138,4697,4680,12171,1206,4769,3860,4094,10738,21701,10976,3708,7686,12639,3941,3453,3937,9100,5020
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369
Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091
Zimbabwe,160,43,885,1412,784,12,46,4865,505,3998,1831,9494,7814,4830,32573,2087,8048,17005,4796,3088
Botswana,28,0,9,0,427,90,1073,819,485,1121,222,1601,1486,1418,7090,640,2448,51,645,2250
Angola,0,29,11,111,68,0,3,0,338,6100,1200,1726,216,62,23,162,67,52,264,807
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,56,52,56,596
China,0,0,0,0,55,0,0,0,39,0,0,73,0,95,244,2078,2062,827,634,422
United Arab Emirates,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,1065,211
United Kingdom,0,14,4,18,6,0,0,9,4,30,20,33,20,0,0,0,0,612,906,164
United States of America,0,0,0,0,0,0,169,17,0,0,0,25,0,11,33,26,201,30,62,74
"Congo, Democratic Republic of the",30,74,60,138,141,292,217,97,87,62,548,76,125,95,278,364,347,46,84,21
France,0,0,0,0,2,49,17,27,24,5,20,7,1,0,0,29,18,0,3,1
Viet Nam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0
Andorra,0,0,0,3,0,0,0,0,0,0,3,0,0,392,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,13,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,1,0,13,0,0,59,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Israel,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,1,0,17,0,5,0,37,2,0,447,4200,1735,1938,2041,97,10,0,60,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
Lesotho,0,0,58,0,0,0,0,0,0,0,29,0,0,8,0,0,0,0,0,0
Madagascar,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,305,160,279,361,110,81,971,517,1098,2880,3185,996,168,514,66,133,731,732,1740,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,89,42,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mozambique,12,66,0,39,18,0,0,138,51,11,72,184,34,99,30,174,403,15,19,0
Namibia,14,136,126,470,460,308,277,1060,135,6960,3297,1875,451,258,55,64,288,0,23,0
Netherlands,0,0,0,0,0,0,0,30,1,28,4,42,32,0,6,4,143,316,809,0
Curaçao,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,10,208,0,0,391,0,0,0,499,0
Saudi Arabia,0,0,0,0,0,0,12,13,0,14,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,4635,0
Singapore,0,0,0,0,0,0,0,0,0,0,49,0,0,51,0,0,16,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,21,46,0,4,0,8,0,0,0,50,0,0,0,33,0,0
Switzerland,4,70,50,19,66,0,201,343,85,49,3256,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,122,0
"Tanzania, United Republic of",0,4,1,13,0,0,6,12,0,0,2320,2349,2939,5756,2152,649,23,71,4527,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0
HHI,0.840632369,0.973932258,0.678096571,0.545735519,0.799108297,0.437433407,0.506693443,0.395978244,0.495608787,0.293471882,0.481777647,0.291124396,0.322209039,0.299306217,0.499224146,0.302649475,0.359410246,0.621756704,0.250095484,0.186037789
