Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,440815,156849,217335,445273,449373,293958,468559,1018655
China,121575,34445,51462,95860,109811,117531,241262,504633
Zambia,143444,69000,84935,177076,153645,110406,128512,258659
South Africa,71540,12415,39298,118218,135438,41399,32677,181687
Namibia,38,0,0,2263,8968,4416,2127,17065
Thailand,1167,1946,188,0,0,777,28949,14075
India,2670,2059,2655,5547,6169,6204,6899,10714
"Tanzania, United Republic of",39060,119,151,2690,798,635,637,4050
Türkiye,2576,36,298,831,515,80,407,3463
Belgium,2900,2974,3522,2377,1393,861,2156,3269
Kenya,748,404,491,316,520,650,3621,2583
Germany,1687,944,2665,256,388,308,931,2192
United Arab Emirates,12457,311,1676,3575,4081,1549,2442,2085
Morocco,0,0,0,0,3,0,141,2083
"Korea, Republic of",1561,2312,10996,14785,15818,2351,1582,1776
Saudi Arabia,3226,1659,5083,1762,867,398,1117,1238
Russian Federation,1183,3040,1646,1596,1684,1607,1897,1098
Brazil,9,0,0,0,1,96,0,1092
Kuwait,0,0,391,0,47,0,1626,978
Poland,614,611,729,1333,1018,643,452,920
Angola,0,0,2,0,79,5,97,608
Spain,1089,639,618,135,43,75,639,526
Malaysia,1,20,66,62,50,86,84,375
United States of America,568,156,151,102,89,303,238,321
France,3854,2701,2716,3005,500,522,865,306
Jordan,0,0,0,0,0,0,53,276
Netherlands,192,342,295,295,439,241,453,260
Viet Nam,342,224,359,227,192,183,363,226
Bangladesh,0,0,0,5,0,13,0,221
Botswana,7670,2652,1192,4172,784,134,2723,191
Czech Republic,0,0,420,191,400,0,174,164
United Kingdom,146,20,33,18,48,120,34,157
Finland,88,28,0,0,56,0,59,156
Qatar,0,0,0,0,0,121,464,149
Chile,1,0,1,1,1,0,1,137
Slovakia,0,0,0,0,0,0,29,130
Mauritius,124,0,601,2699,85,299,2837,100
Switzerland,428,52,29,65,1,95,40,83
Singapore,383,0,83,0,70,0,703,82
Uganda,265,517,278,313,236,36,74,70
Hungary,0,0,1,1,0,0,4,61
Denmark,0,0,0,62,78,0,91,51
Lebanon,256,197,51,353,118,38,66,51
Egypt,39,6,28,78,57,29,30,49
Italy,746,332,461,655,229,78,88,47
Australia,11214,14421,1242,3,79,5,169,46
"Hong Kong, China",126,0,0,140,4076,625,34,33
Mozambique,0,0,0,0,44,0,17,23
Japan,0,8,0,20,0,0,2,22
Sweden,5,160,12,0,12,2,40,20
Nigeria,0,0,0,3,0,0,0,15
Eswatini,0,9,0,11,162,19,0,7
Austria,0,0,0,0,0,0,0,6
Indonesia,176,1104,807,6,0,21,0,6
Tunisia,18,109,59,50,50,2,4,5
Luxembourg,25,0,0,0,0,0,16,3
"Taipei, Chinese",2264,139,1332,1050,58,35,175,3
Costa Rica,0,0,0,0,0,0,0,2
Rwanda,0,8,5,4,3,0,2,2
Côte d'Ivoire,1,0,0,0,3,1,0,1
Chad,0,0,0,0,1,0,0,0
Saint Helena,17,0,0,0,0,0,0,0
Tokelau,0,0,1,0,0,0,0,0
Algeria,0,8,0,0,0,0,0,0
Azerbaijan,1,0,0,0,0,0,0,0
Bahrain,0,620,0,0,0,0,12,0
Bulgaria,0,0,0,0,0,0,1,0
Burundi,0,0,0,1,0,0,0,0
Cameroon,0,0,0,6,0,0,0,0
Canada,11,0,6,3,0,1,0,0
Central African Republic,0,0,0,0,0,1,0,0
Congo,0,0,0,136,5,0,10,0
Eritrea,1,0,0,0,0,0,0,0
Gambia,151,0,0,0,0,0,0,0
Greece,23,0,0,0,0,0,0,0
"Iran, Islamic Republic of",0,0,0,0,0,534,0,0
Ireland,0,0,0,68,0,0,0,0
Israel,1,0,0,0,0,0,13,0
Kazakhstan,0,0,0,2661,0,1,17,0
Lithuania,61,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,269,0
Mexico,88,58,89,0,72,0,0,0
Oman,3584,0,0,0,4,7,0,0
Niger,21,0,0,0,1,0,0,0
Norway,0,0,0,86,0,155,28,0
Pakistan,0,0,6,8,0,198,25,0
Philippines,0,11,0,0,0,0,0,0
Portugal,159,0,3,1,0,0,0,0
Romania,0,0,52,42,0,0,0,0
Saint Kitts and Nevis,0,7,0,0,0,0,0,0
Senegal,0,0,0,0,0,62,0,0
Seychelles,92,2,108,10,57,0,1,0
Sierra Leone,0,0,0,7,0,0,17,0
Slovenia,0,0,42,35,17,0,62,0
Zimbabwe,123,0,0,0,0,0,0,0
Turks and Caicos Islands,0,26,0,0,0,0,0,0
Ukraine,1,0,0,0,6,0,3,0
HHI,0.385869873,0.421298455,0.411510146,0.452866048,0.444178529,0.49578907,0.532264164,0.523008268
