Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,286,11,0,0,0,0,0,0,264,61,133,90,51,151,94,98,317,99,62,68
China,0,0,0,0,0,0,0,0,48,0,0,0,0,11,9,30,155,73,56,68
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Bangladesh,70,0,0,0,0,0,0,0,68,0,75,82,42,65,0,0,0,0,0,0
France,16,0,0,0,0,0,0,0,0,0,0,0,0,7,27,21,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,61,57,0,0,0,0,0
Indonesia,92,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
Italy,15,11,0,0,0,0,0,0,28,0,0,0,0,0,0,30,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,26,0,0
Pakistan,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
India,77,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,20,22,0,8,0,0,2,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Türkiye,16,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
HHI,0.146349721,1,0,0,0,0,0,0,0.068965019,0.096106681,0.238389461,0.707828224,0.448043283,0.27352261,0.237593161,0.108396339,0.378992775,0.258251242,0.681859791,1
