Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,49,31,67,190,273,275,311,602
China,42,7,7,52,149,150,175,268
Gabon,0,3,0,0,1,22,14,68
Belgium,4,6,14,67,25,18,17,53
South Africa,0,0,0,2,4,19,31,40
"Korea, Republic of",0,0,0,0,0,1,0,36
Germany,0,0,2,10,6,6,6,22
Zambia,0,0,1,8,19,12,5,22
Malawi,0,0,0,0,1,0,0,15
United States of America,0,4,4,3,6,15,24,14
France,0,3,2,9,12,5,4,8
Russian Federation,0,0,3,10,9,0,0,8
Benin,0,0,0,0,0,0,0,7
Lebanon,0,0,0,0,0,0,1,7
Canada,0,0,1,0,0,1,0,6
Greece,0,0,0,0,3,2,0,6
Brazil,0,0,2,0,0,0,0,4
"Tanzania, United Republic of",0,0,0,0,0,0,0,4
French Polynesia,0,0,0,0,0,0,0,3
Portugal,0,0,0,1,9,0,1,2
Haiti,0,0,5,0,0,2,0,1
Italy,0,0,0,1,0,0,0,1
Zimbabwe,0,0,0,1,0,0,1,1
Spain,0,0,1,3,4,4,2,1
Togo,0,0,1,0,1,1,1,1
India,2,5,2,1,0,0,0,0
United Arab Emirates,0,0,2,0,0,0,1,0
Chad,0,0,0,0,0,0,1,0
Algeria,0,0,0,0,0,1,0,0
Angola,0,0,1,5,0,0,1,0
Australia,0,0,0,0,0,0,1,0
Burundi,0,0,0,0,0,2,0,0
Cameroon,0,1,2,2,0,0,0,0
Central African Republic,0,0,0,0,1,0,0,0
Congo,0,1,0,0,0,0,0,0
Croatia,0,0,1,0,0,0,0,0
Djibouti,0,0,0,0,7,0,1,0
Ghana,0,0,1,1,7,0,0,0
"Hong Kong, China",0,0,2,0,1,0,0,0
Israel,0,0,0,0,0,1,0,0
Côte d'Ivoire,0,0,4,0,0,1,0,0
Japan,0,0,0,0,0,4,0,0
Kenya,0,0,1,2,0,1,0,0
Mali,0,0,1,0,0,0,0,0
Mauritius,0,0,0,0,0,0,1,0
Morocco,0,0,0,0,1,0,0,0
Mozambique,0,0,0,0,0,0,1,0
Netherlands,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,2,0
Pakistan,0,0,0,0,0,1,0,0
Romania,0,0,1,0,0,0,0,0
Rwanda,0,0,0,0,0,0,2,0
Saint Kitts and Nevis,0,0,0,0,0,3,0,0
Saint Lucia,0,0,0,0,0,1,0,0
Senegal,0,0,1,1,0,1,0,0
Sierra Leone,0,0,0,1,0,1,0,0
Viet Nam,0,0,0,3,0,0,0,0
Switzerland,0,0,2,0,0,0,0,0
Thailand,0,0,0,0,0,2,0,0
Tunisia,0,0,0,0,0,0,5,0
Uganda,0,0,0,0,3,0,5,0
Egypt,0,0,0,0,0,0,3,0
United Kingdom,0,0,0,3,0,0,3,0
HHI,0.673460689,0.056032912,0.101024025,0.30847036,0.438606936,0.45924975,0.480612815,0.348046254
