Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,66,0,4,4,1,0,3,61,0,0,35,337,2751,88,45,57,189,2964
France,0,0,0,0,0,0,3,0,0,0,35,337,481,0,28,0,183,2909
Chad,0,0,0,0,0,0,0,0,0,0,0,0,1497,0,0,11,0,33
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Belgium,13,0,0,0,0,0,0,0,0,0,0,0,68,0,11,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
Cameroon,0,0,4,4,1,0,0,0,0,0,0,0,4,1,6,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0
Congo,0,0,0,0,0,0,0,61,0,0,0,0,19,7,0,11,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Guinea,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
United States of America,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
HHI,0.522090699,0,1,1,1,0,1,1,0,0,1,1,0.384011697,0.405761492,0.246853276,0.223837238,0.893388639,0.963042351
