Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,7626,5480,5997,8508,2947
United States of America,3421,2965,3874,6405,1757
Canada,2250,824,565,718,265
Jamaica,5,132,16,0,153
Paraguay,2,0,1,0,83
Panama,0,5,20,10,76
United Kingdom,5,0,2,7,68
Niger,141,6,21,100,57
China,1,2,165,14,52
France,375,81,139,283,47
Belgium,13,9,68,87,44
Dominican Republic,166,143,124,111,39
Afghanistan,33,0,0,0,30
Thailand,5,0,20,0,26
Tunisia,0,2,6,1,23
Barbados,0,0,0,0,22
Viet Nam,0,0,0,0,20
Mali,45,10,40,0,18
Senegal,13,9,2,43,18
Congo,13,7,3,12,12
Ethiopia,0,0,6,0,12
Netherlands,89,13,9,28,9
Israel,0,2,6,0,8
Italy,84,40,2,4,8
Timor-Leste,0,0,0,0,8
Burkina Faso,0,5,107,8,8
Saint Lucia,0,0,0,0,7
Jordan,6,25,15,5,6
Norway,0,5,15,8,6
Sao Tome and Principe,0,0,0,0,6
Brazil,38,0,0,129,5
Mexico,0,106,0,0,5
Romania,0,25,35,15,5
Bangladesh,1,2,21,16,4
"Taipei, Chinese",0,6,0,0,4
Philippines,20,11,14,3,4
"Korea, Republic of",9,1,0,3,3
Denmark,0,64,128,1,2
Ghana,0,0,13,0,2
"Hong Kong, China",1,0,0,1,2
Nepal,21,44,59,5,2
Curaçao,1,0,8,4,2
Peru,1,0,0,0,2
Saudi Arabia,4,0,0,2,2
Singapore,0,0,0,0,2
Eswatini,143,9,19,0,2
Togo,0,0,10,23,2
Türkiye,64,1,9,8,2
Antigua and Barbuda,0,0,0,0,1
Sri Lanka,1,28,12,3,1
Djibouti,0,0,0,0,1
Germany,42,29,54,28,1
Iceland,0,0,0,0,1
Japan,0,0,0,1,1
Aruba,0,1,0,0,1
Nicaragua,0,0,0,0,1
Zimbabwe,0,0,0,0,1
Switzerland,34,89,3,45,1
Uruguay,0,2,0,1,1
Neutral Zone,0,1,0,0,0
Tokelau,0,0,0,1,0
Argentina,0,487,0,0,0
Australia,0,0,0,0,0
Bahamas,66,0,0,0,0
Bhutan,0,0,0,1,0
"Bolivia, Plurinational State of",0,0,5,0,0
Burundi,16,0,0,0,0
Cameroon,0,3,23,0,0
Central African Republic,0,0,1,1,0
Chile,44,2,2,0,0
Colombia,0,0,0,35,0
Costa Rica,104,0,0,0,0
Croatia,3,0,0,0,0
Cuba,0,30,0,0,0
Benin,29,15,43,31,0
Ecuador,2,16,0,1,0
El Salvador,0,9,0,0,0
Finland,1,0,0,0,0
Georgia,0,6,0,0,0
Gambia,0,0,0,2,0
Greece,2,0,21,0,0
Guatemala,24,0,59,0,0
Guyana,0,0,0,1,0
Honduras,0,34,0,0,0
Indonesia,4,1,8,12,0
"Iran, Islamic Republic of",0,0,0,5,0
Iraq,1,0,0,0,0
Côte d'Ivoire,40,60,2,0,0
Kenya,0,3,0,0,0
Lebanon,81,0,0,0,0
Liberia,0,0,0,4,0
Lithuania,2,6,0,0,0
Luxembourg,0,0,36,2,0
Madagascar,14,27,6,56,0
Malaysia,5,1,0,0,0
Mauritania,0,0,63,0,0
"Moldova, Republic of",0,0,27,0,0
Oman,5,5,0,0,0
Namibia,0,22,0,0,0
Nigeria,7,1,0,0,0
Pakistan,9,0,0,0,0
Russian Federation,0,0,0,0,0
Rwanda,1,0,7,0,0
India,0,19,9,71,0
Slovakia,0,0,7,0,0
South Africa,10,0,0,0,0
Spain,87,0,25,2,0
Sudan,18,0,0,0,0
Suriname,0,16,0,17,0
Trinidad and Tobago,0,0,2,0,0
Uganda,0,12,0,0,0
Egypt,0,0,39,56,0
"Tanzania, United Republic of",4,0,0,76,0
"Venezuela, Bolivarian Republic of",0,0,0,0,0
HHI,0.471226197,0.504813093,0.601713569,0.720124021,0.549154758
