Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,0,0,0,0,0,0,0,0,1243,332,97,288,1602,714,151,320
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,1049,274,8,244,1518,492,95,187
Congo,0,0,0,0,0,0,0,0,0,0,3,23,10,1,28,77,37,114
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Marshall Islands,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
Namibia,0,0,0,0,0,0,0,0,0,0,1,0,7,2,4,17,3,1
Panama,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,1
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
France,0,0,0,0,0,0,0,0,0,0,4,0,7,2,0,0,1,0
Italy,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,74,7,1,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,29,0,26,24,0,1,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0
Singapore,0,0,0,0,0,0,0,0,0,0,15,2,13,1,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,87,0,0
Spain,0,0,0,0,0,0,0,0,0,0,3,1,8,10,8,30,1,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HHI,0,0,0,0,0,0,0,0,0,0,0.80268584,0.744513653,0.1393965,0.76221499,0.922063643,0.575467601,0.529496526,0.513220834
