Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,10,1,16,0,7,16,14,88,11,8,12,7,9,13,10,231,157,2250,6051,17955
South Africa,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,8,4,203,1104,8819
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1721,4926
Kenya,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,1,3,1498,3059,2730
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,319
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1,304
Uganda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,141
Djibouti,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,3,3,113
United Arab Emirates,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,62,67,48,86,69
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18
United States of America,0,1,3,0,3,5,5,1,5,5,8,3,8,11,7,15,17,16,7,14
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Canada,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,6
Italy,0,0,6,0,0,0,2,0,1,1,0,1,0,0,0,2,3,1,2,6
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,4,5
Germany,0,0,0,0,0,0,0,1,1,2,2,1,1,0,0,2,4,4,13,5
Australia,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1
