Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Total,98,272,147,35,0,0,0,0,0,61,27,35,22,57,16,314,33,26,6,0
Central African Republic,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Canada,0,0,0,0,0,0,0,0,0,0,24,33,19,0,2,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
Germany,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,88,54,147,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,27,26,0,0
United States of America,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,1,55,5,80,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,3,2,1,2,9,10,6,0,1,0
HHI,0.801244422,0.404878885,1,0.63487417,0,0,0,0,0,1,0.644260854,0.810808721,0.734434912,0.88238044,0.184917333,0.149253586,0.447376776,1,0.307007204,0
