Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,3001,1304,4292,1540,1883
United States of America,644,538,807,584,717
Jamaica,0,0,39,399,345
Canada,3,0,0,9,275
China,430,50,125,33,181
"Korea, Democratic People's Republic of",239,9,0,50,81
Dominican Republic,199,23,2312,52,68
"Taipei, Chinese",149,68,19,61,47
Thailand,0,0,0,43,41
Honduras,88,30,35,154,30
Australia,0,0,0,0,21
Guatemala,0,0,0,0,14
Bahamas,0,0,0,0,12
France,1,36,0,11,11
Viet Nam,28,287,25,16,8
Netherlands,0,0,0,0,7
Germany,2,0,1,7,6
Mexico,0,0,0,0,6
Suriname,0,0,0,0,5
"Hong Kong, China",408,33,49,80,4
Trinidad and Tobago,0,0,0,0,2
Turks and Caicos Islands,26,0,0,0,2
United Arab Emirates,0,0,0,0,1
Barbados,0,0,0,30,0
Brazil,0,0,0,0,0
Cambodia,0,15,0,0,0
Colombia,0,0,0,0,0
El Salvador,0,0,0,0,0
Italy,0,2,0,0,0
Japan,0,0,0,0,0
Malaysia,651,6,4,6,0
Mali,0,1,1,0,0
Nicaragua,9,0,0,0,0
Philippines,65,0,0,0,0
Poland,0,0,0,0,0
India,0,24,640,6,0
Singapore,0,183,228,0,0
South Africa,1,0,0,0,0
Zimbabwe,0,0,5,0,0
Spain,0,1,0,0,0
Eswatini,0,0,0,0,0
Switzerland,1,0,0,0,0
Türkiye,54,0,0,0,0
Uganda,1,0,0,0,0
United Kingdom,0,0,0,0,0
HHI,0.200095619,0.32707806,0.444684499,0.305082535,0.316917151
