Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018
World,0,0,3,7,2,7,157,304,317,504,448,228,94,72,118,36,34,51
Australia,0,0,0,7,1,0,0,2,35,13,0,0,0,0,0,14,22,21
United States of America,0,0,0,0,0,0,0,0,24,9,0,0,8,13,46,6,2,13
Marshall Islands,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,6
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Kiribati,0,0,0,0,1,6,102,113,61,422,433,227,86,55,7,8,5,5
Nauru,0,0,0,0,0,1,43,132,63,12,13,1,0,0,0,1,2,1
Argentina,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
Fiji,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,10,57,35,35,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0
Vanuatu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0
Philippines,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,0
HHI,0,0,1,1,0.683012702,0.552622199,0.416076992,0.203174184,0.093196152,0.732042935,0.921835198,0.985058363,0.808127429,0.49580202,0.176148034,0.157654881,0.411254881,0.191773813
