Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,14410,16607,31946,77408,52957,17667,21306,82825,44563,51710,56325,68231,82249,51548,79851,65751,70534,116147,94092,102888
China,5929,7126,12601,14715,12651,9339,8369,15575,19116,14162,30917,27768,27947,22025,24039,19985,24012,61044,44000,51310
India,2220,2207,548,235,240,569,581,383,1030,917,1997,2175,9345,4844,14296,19009,28362,12775,16149,31609
Pakistan,110,198,356,141,848,617,408,348,1956,1870,1460,8899,9638,2938,4325,6760,2135,845,6401,7698
Denmark,58,133,5311,38217,9246,106,0,0,54,0,2,19,0,2,0,0,3,105,335,2441
United States of America,301,241,480,429,321,63,324,1416,293,158,57,902,539,261,342,1638,1511,886,3054,1273
Saudi Arabia,160,99,174,179,26,18,66,110,30,1612,1600,4491,11255,7434,9082,6672,6389,6547,6516,1199
Ukraine,5,2,14,3,0,0,0,2,7,2,0,0,0,8,0,0,0,0,0,920
Thailand,460,626,2467,869,30,98,3906,223,140,220,2080,31,172,57,135,192,107,21946,2566,880
United Arab Emirates,711,256,1198,1448,108,145,452,343,1083,615,648,2755,905,725,596,802,662,469,965,871
Kenya,575,132,319,484,14,13,57,183,120,86,342,1007,144,923,229,608,407,1193,1722,666
Türkiye,58,31,542,230,319,19,41,31,166,49,118,253,1223,1024,904,370,917,475,418,625
South Africa,35,36,84,166,13,13,84,99,239,151,144,237,26,50,23,238,120,168,455,572
France,219,50,277,92,237,15,9,16,70,48,14,19,209,44,87,88,22,218,220,533
Viet Nam,25,3130,3481,7503,18325,4661,4037,61713,10146,26620,6220,10454,17081,1341,12900,1478,1198,1250,4672,527
Belgium,100,64,297,501,18,206,77,3,78,5,195,444,200,247,130,115,258,277,1516,477
United Kingdom,130,419,974,489,364,15,48,105,1362,237,81,758,143,184,35,70,146,175,491,284
Italy,189,178,233,197,60,84,1092,886,910,431,219,300,427,482,517,412,203,449,161,206
Finland,15,27,36,7,0,0,0,0,2,0,0,25,1,1,1,0,3,1,3,130
