Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Total,1,6,14,4,1,10,0,6,0,61,24,0,3,204,0,5,5,0,3,7
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,3
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0
Canada,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,3,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
Germany,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
United States of America,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
HHI,1,1,1,0.284959256,1,1,0,0.487310034,0,1,1,0,1,0.615572228,0,0.401219067,1,0,1,0.024510411
