Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1507,731,1643,327,344,258,171,2124
China,38,86,34,0,0,0,0,1446
South Africa,22,0,27,25,0,0,1,385
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,161
Uganda,220,54,85,35,62,93,3,49
Angola,0,0,0,22,10,0,30,44
United States of America,0,0,0,4,6,19,9,14
Gabon,0,0,0,0,209,89,45,7
United Kingdom,27,27,92,0,0,0,3,4
Germany,0,0,0,1,2,0,0,3
Senegal,0,0,0,0,0,3,0,2
Bangladesh,0,0,0,0,0,0,0,1
Belgium,0,0,17,5,2,4,6,1
Denmark,0,0,0,0,0,0,0,1
France,0,0,1,1,3,1,2,1
Japan,0,0,0,1,1,0,0,1
"Korea, Republic of",0,0,0,0,0,3,0,1
Netherlands,0,0,0,0,0,1,0,1
Switzerland,0,0,0,0,1,0,0,1
Thailand,0,0,0,2,0,0,0,1
Kenya,333,190,0,7,0,3,0,0
Chad,0,0,1,0,0,0,0,0
Burundi,14,0,0,18,0,0,0,0
Cameroon,0,0,188,31,32,1,1,0
Canada,0,0,0,2,1,0,0,0
Central African Republic,0,0,0,0,0,0,9,0
Congo,0,1,0,4,0,0,0,0
Benin,325,59,124,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,35,0
Lebanon,0,0,0,0,0,0,11,0
Madagascar,0,0,0,0,1,0,7,0
Malawi,160,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,2,0
Niger,0,0,2,0,0,0,0,0
Nigeria,0,0,728,6,3,0,0,0
Rwanda,8,0,141,0,0,0,2,0
India,310,271,203,162,10,0,0,0
Spain,0,0,0,0,0,0,0,0
Sudan,6,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0
Togo,0,0,2,0,0,0,5,0
Türkiye,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",5,44,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,44,0,0
Zambia,40,0,0,0,0,0,0,0
HHI,0.190523851,0.204246648,0.309902661,0.373093833,0.511791676,0.331472128,0.194064299,0.622749616
