Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,140,851,187,210,252,202,250,249,507,461,413,547,530,304,705,1316,775,942,912,823
Portugal,56,141,88,74,137,75,91,159,256,237,159,226,190,198,330,1015,521,603,493,560
Spain,0,0,2,5,14,44,47,25,69,28,85,101,66,52,84,200,111,92,252,112
France,21,7,23,16,6,17,0,8,13,16,49,0,49,6,50,44,0,110,112,78
Guinea-Bissau,0,0,0,0,0,2,6,3,2,2,5,6,7,10,5,15,26,23,25,28
Senegal,1,1,1,1,0,0,0,1,1,1,2,2,5,6,6,16,3,1,5,27
Brazil,5,50,7,6,24,5,11,31,53,71,33,47,91,3,69,3,2,67,4,14
China,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,2
Italy,1,5,3,14,2,1,3,2,0,1,1,2,6,1,3,2,2,4,18,1
Morocco,0,0,0,0,0,0,0,0,1,0,0,0,1,17,1,6,9,1,0,1
Belgium,1,589,1,10,7,0,5,17,5,14,7,24,0,0,1,4,0,33,0,0
Denmark,0,0,10,2,0,0,0,0,0,10,0,11,9,0,9,0,0,0,0,0
Germany,0,15,0,15,19,0,0,0,51,0,6,21,3,0,38,0,1,7,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Guinea,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Taipei, Chinese",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,38,42,39,64,40,58,86,1,50,79,66,104,94,9,95,11,100,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
South Africa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,4,0,0,0,0,3,2,1,0,2,6,3,12,0,0,0,0,0
HHI,0.278169949,0.574146094,0.337560409,0.264217541,0.374959507,0.236280363,0.256960347,0.506972946,0.37064069,0.382882365,0.249867427,0.287442468,0.256894919,0.528929402,0.351854742,0.69514574,0.550411544,0.517882889,0.412731299,0.55324061
