Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,146,82,72,21,42,554,382,237,106,55,205,401,255,328,256,217,19,13,49,10
France,1,0,2,4,5,1,1,2,0,0,0,0,3,0,0,2,2,5,3,3
Italy,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
China,0,1,1,0,12,523,381,129,26,2,54,134,108,17,100,0,3,1,41,1
Nigeria,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Togo,3,47,48,12,24,17,0,103,80,35,149,147,144,298,106,150,2,1,3,1
Belgium,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0
Ghana,0,0,0,0,0,0,0,3,0,5,0,0,0,0,49,59,11,0,0,0
"Hong Kong, China",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,142,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
United Kingdom,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0
HHI,0.945735988,0.375402164,0.456678956,0.300866508,0.17159187,0.90001855,0.991073997,0.393376467,0.295221396,0.348399725,0.463161445,0.236662547,0.304342123,0.789131363,0.054914189,0.486416227,0.313509101,0.22111599,0.713628226,0.065847389
