Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,194337,130546,133250,114706,95506,103616,99100,109866
Poland,8705,7347,16971,17299,12228,24075,20582,27386
Netherlands,6456,3959,5159,7675,6044,5481,9761,11755
Brazil,15913,17267,14007,11422,9962,12329,9856,11735
Belgium,31190,14936,14000,13821,13049,8996,11547,9599
Germany,18192,18159,14752,15372,11750,9019,8735,8104
Italy,2655,2007,3320,2544,2138,1424,2630,5165
Spain,1813,2714,2712,4739,3642,4357,1425,5011
Türkiye,20000,10902,12957,8543,7665,4115,1284,3791
Zambia,284,31,22,69,56,1348,2144,3457
India,18679,11013,6978,4047,3605,2610,3321,3449
France,7211,8295,12070,5363,7683,2428,2003,3165
South Africa,1537,1220,1681,714,734,1452,1732,3049
United States of America,33175,18265,14365,7653,5177,14004,9827,3017
Kenya,12,9,24,0,0,324,1768,2013
Canada,4595,1098,3039,3754,3044,2526,1924,1598
Argentina,6257,3849,1838,1499,802,1543,1669,923
Ukraine,337,1558,293,1718,2270,1925,1907,917
Liberia,0,0,0,0,0,0,0,828
Angola,631,467,809,257,25,0,138,729
Hungary,109,28,37,92,189,126,143,568
China,264,143,155,70,415,201,404,479
United Kingdom,1772,1532,2546,2822,2408,2311,3028,432
United Arab Emirates,1187,0,40,0,16,0,22,375
Paraguay,807,561,197,77,69,47,94,361
Russian Federation,60,0,54,291,59,723,1386,302
Saudi Arabia,859,0,339,345,839,430,430,299
Uganda,3364,3445,1825,794,3,32,25,207
Portugal,323,215,141,337,388,132,177,206
Denmark,633,0,23,329,0,42,72,191
Jordan,231,0,24,0,0,0,14,183
Romania,31,0,0,0,0,26,0,167
Tunisia,0,72,107,164,140,66,24,72
Sweden,209,90,76,49,156,190,155,49
Uruguay,600,30,283,226,83,153,66,43
Ireland,140,170,187,149,49,30,206,41
Colombia,0,0,0,15,0,0,0,32
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,31
Austria,368,103,110,62,12,0,0,27
Greece,30,0,304,33,0,40,0,20
Panama,0,0,0,0,19,0,0,15
"Korea, Republic of",0,0,0,0,0,0,48,13
Lithuania,0,0,0,0,8,21,87,13
Slovenia,0,0,0,0,0,0,0,12
Congo,0,0,3,0,0,0,0,10
Rwanda,3,0,0,0,0,0,0,10
American Samoa,0,0,0,0,0,0,0,9
Lebanon,807,24,29,0,0,140,35,8
Afghanistan,0,0,0,0,0,0,35,0
Andorra,36,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,21,0,0,0,0
Australia,105,190,0,0,0,36,49,0
Bosnia and Herzegovina,282,0,0,0,0,0,0,0
Botswana,197,117,0,115,55,0,0,0
Bulgaria,0,0,0,0,0,0,10,0
Belarus,0,0,0,0,0,0,28,0
Chile,1737,252,329,839,186,0,0,0
Croatia,0,0,0,70,44,0,0,0
Cyprus,0,0,27,0,18,0,0,0
Czech Republic,85,63,0,103,0,0,0,0
Ethiopia,0,0,0,4,0,0,0,0
Estonia,0,0,0,25,0,27,21,0
Finland,574,158,59,53,0,0,0,0
Indonesia,71,0,0,0,0,0,0,0
"Iran, Islamic Republic of",0,0,42,0,0,0,15,0
Israel,31,0,24,90,0,16,0,0
Japan,0,0,0,0,0,0,1,0
Kuwait,0,0,99,148,250,0,0,0
Mauritius,27,0,0,0,0,0,0,0
Mexico,53,31,555,510,58,66,93,0
Montenegro,0,0,0,22,0,0,0,0
Morocco,0,0,33,32,0,34,0,0
Namibia,1665,203,557,256,76,763,134,0
New Zealand,0,0,0,0,0,7,0,0
Norway,30,22,0,73,91,0,0,0
Pakistan,0,0,0,0,0,0,18,0
Serbia,0,0,49,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,26,0
"Tanzania, United Republic of",5,0,0,0,0,0,0,0
HHI,0.199899118,0.173195713,0.173870069,0.177076889,0.164058424,0.210124643,0.199132495,0.215366494
