Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,2181,2947,4128,9996,20620,18477,4257,5994,3172,20136,23113,5523
China,625,1080,865,625,5208,120,360,447,983,3864,4854,3393
Pakistan,264,1147,557,1103,2614,827,748,348,830,3723,3592,1172
"Iran, Islamic Republic of",308,518,1315,333,7779,12443,801,2902,1184,7189,7281,796
United Arab Emirates,945,58,1346,7703,4318,4919,1746,2164,95,4669,6796,58
India,25,0,1,0,58,0,0,0,7,235,230,42
Türkiye,1,0,0,123,120,165,2,31,17,96,103,41
United States of America,0,0,0,0,0,0,0,0,3,148,133,8
Turkmenistan,0,0,0,0,0,0,0,0,0,0,1,5
Ireland,0,0,0,0,0,0,0,0,0,0,2,4
Russian Federation,0,0,0,0,27,0,0,0,21,47,27,1
South Africa,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,0,0,0,0,0,0,0,0,0,1,19,1
Austria,0,0,0,0,0,0,0,0,0,5,5,0
Belgium,0,0,0,0,63,0,0,0,0,0,0,0
Canada,0,0,1,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,1,0
Estonia,0,0,0,0,0,0,0,0,0,9,0,0
Finland,0,0,0,0,0,0,0,0,0,0,4,0
France,0,0,0,0,0,0,0,0,0,0,5,0
Georgia,0,0,0,0,150,0,0,0,0,0,0,0
Germany,0,1,0,0,110,0,0,0,0,39,9,0
Indonesia,0,132,0,64,0,0,57,0,0,0,3,0
Italy,0,0,0,0,0,0,0,0,0,1,1,0
Japan,0,0,0,16,0,0,0,0,0,1,0,0
Kazakhstan,0,0,0,0,0,0,523,0,0,0,0,0
"Korea, Republic of",0,0,7,0,0,0,0,0,0,0,1,0
Lebanon,0,0,0,0,0,0,0,0,0,0,1,0
Malaysia,0,0,0,10,0,0,18,5,24,0,4,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,7,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,3,3,0
Poland,0,0,0,0,0,0,0,0,0,2,0,0
Saudi Arabia,3,11,16,0,0,2,0,0,0,0,30,0
Switzerland,0,0,0,0,0,0,0,97,0,12,0,0
Thailand,9,0,0,0,0,0,3,0,0,14,7,0
Uzbekistan,0,0,20,20,175,0,0,0,0,77,0,0
HHI,0.306839818,0.300492144,0.27935665,0.672719933,0.30705583,0.536309399,0.260343372,0.37547992,0.345031977,0.354348307,0.376898519,0.530334011
