Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,0,0,0,0,0,0,0,0,0,0,632,589
Myanmar,0,0,0,0,0,0,0,0,0,0,373,173
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,130,106
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,83
India,0,0,0,0,0,0,0,0,0,0,9,47
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,43
Kazakhstan,0,0,0,0,0,0,0,0,0,0,1,36
United Kingdom,0,0,0,0,0,0,0,0,0,0,5,27
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,20
Germany,0,0,0,0,0,0,0,0,0,0,45,15
United States of America,0,0,0,0,0,0,0,0,0,0,3,11
China,0,0,0,0,0,0,0,0,0,0,3,10
Somalia,0,0,0,0,0,0,0,0,0,0,0,4
Canada,0,0,0,0,0,0,0,0,0,0,5,4
Denmark,0,0,0,0,0,0,0,0,0,0,0,2
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,2
Switzerland,0,0,0,0,0,0,0,0,0,0,3,2
France,0,0,0,0,0,0,0,0,0,0,0,1
Spain,0,0,0,0,0,0,0,0,0,0,0,1
Australia,0,0,0,0,0,0,0,0,0,0,4,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,15,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,3,0
Sweden,0,0,0,0,0,0,0,0,0,0,7,0
Türkiye,0,0,0,0,0,0,0,0,0,0,27,0
HHI,0,0,0,0,0,0,0,0,0,0,0.503112662,0.212705612
