Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,194,24,36,218987,224123,117109,129317,858136
South Africa,0,0,0,88886,23069,1743,39,724201
Belgium,0,0,0,43172,29579,59741,56943,74335
United Arab Emirates,180,21,0,77567,113718,50691,63676,50555
India,11,0,33,6727,6707,3874,6902,6360
Burundi,0,0,0,0,76,79,665,693
Rwanda,0,0,0,184,243,0,162,599
Israel,0,0,0,1589,423,135,316,553
Spain,0,0,0,0,0,0,0,210
Uganda,0,0,0,71,83,188,185,149
"Korea, Republic of",0,0,0,0,0,0,0,142
China,0,2,0,0,48580,97,137,106
United States of America,3,0,0,37,256,16,77,104
Italy,0,0,0,0,0,0,0,55
"Hong Kong, China",0,0,0,0,0,312,0,24
Türkiye,0,0,0,0,0,0,0,23
Canada,0,0,0,82,18,226,0,15
France,0,0,0,0,0,1,5,7
Gabon,0,0,0,0,0,0,10,2
Australia,0,0,0,0,0,0,0,1
Germany,0,0,0,0,10,0,0,1
"Korea, Democratic People's Republic of",0,0,0,0,8,0,0,0
Angola,0,0,2,4,2,4,0,0
Armenia,0,0,0,62,0,0,0,0
Botswana,0,0,0,180,0,0,0,0
Japan,0,0,0,0,7,0,109,0
Kenya,0,0,0,5,0,0,0,0
Lebanon,0,0,0,302,1334,0,63,0
Netherlands,0,0,0,118,0,0,0,0
Norway,0,0,0,0,0,0,25,0
Russian Federation,0,0,0,0,0,1,1,0
Thailand,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,10,1,1,0
HHI,0.833655604,0.586741188,0.721224769,0.426432496,0.442071979,0.555164793,0.554770573,0.80735764
