Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,0,0,0,0,0,0,0,0,734,66,151,1851,76,0,9860,6548
China,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,4,0,6566,6527
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Namibia,0,0,0,0,0,0,0,0,0,0,22,62,0,0,0,0,0,7
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3215,3
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Algeria,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
HHI,0,0,0,0,0,0,0,0,0,0,0.901367475,0.880253583,0.356500586,0.93606373,0.78043852,0,0.483010026,0.99420129
