Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,17821,16559,21109,23087,24792
Germany,4304,4579,5170,1471,7271
United States of America,5056,4762,4976,5738,5658
Malaysia,0,0,0,1054,3429
India,1,30,2,294,2528
France,1504,1346,1219,1537,1734
Malta,0,1478,0,0,1210
China,182,81,33,257,1022
Dominican Republic,1523,365,752,636,596
Canada,630,1244,1000,1052,567
"Korea, Republic of",583,613,596,470,278
Panama,44,100,13,5,130
"Hong Kong, China",35,55,9,77,64
Viet Nam,0,0,70,5,55
Belgium,73,85,49,25,39
Denmark,24,79,371,5,38
Switzerland,14,31,5,3,31
"Korea, Democratic People's Republic of",0,0,0,0,29
Italy,17,39,15,7,24
Spain,21,94,259,588,17
Japan,6,15,37,13,12
Mexico,3,14,108,18,10
Eswatini,4,16,3,3,9
Netherlands,17,26,2,17,8
United Kingdom,1299,1432,4811,2269,6
New Zealand,0,0,86,62,5
Colombia,3,0,2,4,4
Philippines,0,0,0,1,4
Jamaica,10,30,8,4,2
Portugal,1,0,1,0,2
Chile,0,0,1,2,1
Cuba,1,3,0,0,1
Guatemala,12,0,6,0,1
Guyana,0,0,0,0,1
Honduras,0,0,0,0,1
Indonesia,1,1,2,9,1
Israel,1,0,0,0,1
"Taipei, Chinese",1,0,1,0,1
Curaçao,0,0,1,0,1
Antigua and Barbuda,0,0,1,0,0
Argentina,3,5,9,4,0
Australia,2,2,0,2,0
Bahamas,1,1,0,0,0
Barbados,2,0,0,0,0
Brazil,2326,19,0,1,0
Bulgaria,0,0,0,4,0
Burundi,0,0,2,0,0
Sri Lanka,0,0,0,1363,0
Congo,0,0,0,0,0
Costa Rica,21,0,1,0,0
Benin,1,0,0,0,0
El Salvador,0,0,0,3,0
Georgia,3,0,0,0,0
Greece,0,5,0,0,0
Ireland,3,0,0,0,0
Jordan,3,0,0,0,0
Kenya,0,0,1,0,0
Luxembourg,3,1,0,0,0
Niger,0,0,1,0,0
Nigeria,0,0,0,1,0
Peru,0,1,0,1,0
Russian Federation,3,0,0,0,0
Saudi Arabia,0,0,1,0,0
Singapore,0,0,0,1,0
South Africa,3,0,1481,3232,0
Sweden,0,0,1,0,0
Thailand,0,0,0,1,0
Trinidad and Tobago,6,0,0,0,0
United Arab Emirates,37,2,0,2847,0
Ukraine,0,2,0,0,0
Uruguay,31,0,0,0,0
Zambia,0,0,1,0,0
HHI,0.319363378,0.315457357,0.31696218,0.231308059,0.30978236
