Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,27338,18327,14904,16128,15448,21667,43076,43763
China,9614,7410,4814,3818,3373,5041,8591,9420
South Africa,3049,1443,2812,2770,2691,2288,4839,5874
United Kingdom,91,70,50,24,29,53,3621,4862
United States of America,1007,184,189,1663,1313,2137,4595,3993
Australia,16,784,1269,1427,1696,1342,1243,2725
France,334,376,323,235,288,2375,7108,2612
Belgium,2099,1389,1468,1249,1613,1358,1584,2586
Ireland,57,0,0,0,0,5,3451,2204
Zambia,1564,943,267,425,747,941,1158,1628
India,513,310,673,479,444,339,1360,1230
Germany,227,252,357,318,320,380,602,907
United Arab Emirates,415,509,327,1182,378,897,758,812
Kenya,1806,793,628,577,540,1080,527,706
Indonesia,2859,1943,551,355,320,300,335,647
Angola,1,32,46,8,6,0,22,638
Uganda,282,173,86,147,128,284,322,570
Namibia,0,0,0,0,0,0,732,283
"Tanzania, United Republic of",122,212,87,206,10,202,35,218
Türkiye,583,267,77,102,133,144,307,200
Rwanda,88,52,47,80,93,41,29,189
Italy,89,25,33,55,109,160,185,174
Chile,0,0,0,0,0,0,0,169
Qatar,0,0,0,0,0,381,0,153
Netherlands,14,68,70,28,84,64,138,136
Sweden,0,0,2,9,7,33,199,132
Japan,25,16,3,1,0,2,6,107
Switzerland,11,26,13,16,78,4,57,77
Nigeria,43,45,89,4,4,13,5,73
Morocco,0,0,0,0,0,0,8,42
Spain,60,7,44,16,83,115,46,42
Thailand,5,21,0,1,0,9,1,40
Malaysia,117,113,80,105,30,159,49,37
Finland,0,1,0,0,0,1,1,36
Canada,11,8,0,8,16,0,10,34
Côte d'Ivoire,42,33,27,31,30,7,43,31
Pakistan,1,1,6,0,0,426,198,31
Singapore,2,0,75,0,8,0,12,25
Burundi,277,152,0,10,4,24,102,20
Senegal,15,2,7,14,9,242,12,19
Czech Republic,0,0,0,0,0,0,0,18
Portugal,13,1,0,1,1,0,0,13
Egypt,163,70,43,2,63,13,0,11
Lebanon,199,79,7,28,19,11,305,9
Kuwait,0,0,0,0,0,0,0,7
El Salvador,0,0,0,0,0,0,0,6
Tunisia,12,2,3,0,0,1,1,6
Djibouti,0,0,0,0,0,0,0,3
Austria,0,0,0,0,0,0,0,2
Bangladesh,0,0,0,0,31,36,1,1
Norway,0,0,1,0,0,0,0,1
Togo,1,1,0,3,1,0,1,1
Burkina Faso,0,0,0,0,0,0,0,1
"Korea, Democratic People's Republic of",0,47,105,0,110,164,0,0
Brazil,0,2,0,0,0,2,3,0
Cameroon,49,3,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0
Denmark,2,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,1,0
Greece,0,1,2,0,0,0,1,0
Guinea,1,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,1,0
Iceland,0,1,0,0,0,0,0,0
Israel,0,0,2,0,0,0,0,0
Jordan,1,0,0,0,0,0,0,0
"Korea, Republic of",114,50,215,628,625,324,177,0
Mauritius,0,0,0,0,0,0,284,0
"Taipei, Chinese",4,0,0,0,0,0,5,0
Mongolia,0,0,4,0,0,0,0,0
New Zealand,0,8,0,0,0,0,0,0
Poland,7,40,0,0,0,0,0,0
Romania,0,0,0,0,0,0,3,0
Russian Federation,0,0,0,98,0,269,0,0
Saudi Arabia,7,0,2,0,11,0,0,0
Viet Nam,1311,363,0,0,0,0,0,0
Zimbabwe,17,0,0,0,0,0,0,0
Eswatini,0,0,0,7,0,0,0,0
Ukraine,0,0,0,0,1,0,0,0
HHI,0.307327981,0.346102224,0.294077976,0.221994337,0.215610904,0.195879567,0.21973783,0.210662214
