Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,2,5,2,0,0,0,0,0,0,0,259,253,141,294,524,1497,2630,1208
Portugal,0,0,0,0,0,0,0,0,0,0,52,65,3,127,91,30,540,787
Belgium,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,2,4,220
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,15,54,36,14,102,896,619,139
Spain,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20
Germany,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
China,0,0,0,0,0,0,0,0,0,0,33,5,9,17,28,29,541,11
Congo,0,0,0,0,0,0,0,0,0,0,50,45,11,10,1,3,788,7
Namibia,0,0,0,0,0,0,0,0,0,0,9,5,0,6,1,2,6,2
Brazil,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0
France,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,28,9,0,2,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
Norway,0,0,0,0,0,0,0,0,0,0,6,0,0,1,9,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,3,18,2,1,0,0,4,0
South Africa,2,5,0,0,0,0,0,0,0,0,19,0,2,87,3,1,12,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,21,47,3,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,5,0
United States of America,0,0,0,0,0,0,0,0,0,0,12,5,9,0,0,0,15,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,10,0,10,0,3,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,1,0,1,0,105,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,1,0,0,3,79,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,30,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Zambia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HHI,1,1,1,0,0,0,0,0,0,0,0.1501191,0.189458745,0.195304089,0.373757167,0.16942327,0.5332822,0.345992661,0.515272585
