Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,4,0,35,128,91,76,0,0,3,0,381,5,2,97,2,251,622,4084
France,0,0,0,128,91,68,0,0,0,0,0,0,0,83,2,217,596,4021
Chad,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,61
Cameroon,0,0,31,0,0,7,0,0,0,0,0,0,0,2,0,34,1,2
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
China,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,54,5,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0
Guinea,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
HHI,1,0,0.63487417,1,1,0.656752248,0,0,1,0,0.555782367,1,1,0.680143332,1,0.573528609,0.92513326,0.963769898
