Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,16,14,24,25,6,2,2,0,0,3,1,2,14,15,1,14,0,15
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Cameroon,4,12,0,0,0,2,0,0,0,2,0,0,0,2,0,3,0,3
Nigeria,10,1,24,25,6,0,0,0,0,1,1,2,14,12,1,11,0,1
Belgium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sudan (before 2012),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.357847561,0.732050808,1,1,1,1,1,0,0,0.130590976,1,1,1,0.559375975,1,0.36635958,0,0.591414803
