Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,57007,36905,31166,33291,34623,32052,40066,61706
China,15630,9691,6916,5303,7975,6309,6841,12092
Lebanon,186,159,358,3559,1681,4926,369,5969
India,4739,3893,3087,4868,3487,3351,4520,5421
Indonesia,5636,4992,2593,2837,3306,1586,2134,5169
Belgium,1967,1322,1071,1722,1897,942,3028,4756
United Arab Emirates,1746,1195,544,618,341,499,1880,3178
Uganda,1269,1375,1270,1679,2409,2708,2947,2611
South Africa,5347,2810,3996,3665,2525,2977,3004,2582
Germany,1733,1110,457,672,1780,1040,2502,2552
Italy,636,887,1409,1141,1114,596,2389,1943
Kenya,2032,908,609,550,834,1026,633,1651
"Korea, Republic of",1089,707,885,1315,669,316,1159,1520
France,2129,816,823,631,653,1057,1213,1510
Sweden,828,249,862,655,235,781,654,1471
Russian Federation,479,421,1519,577,102,0,1054,1301
Türkiye,177,174,523,133,806,82,279,1133
Zambia,238,115,101,193,407,825,500,921
Portugal,493,221,208,52,603,15,2,667
Netherlands,100,50,190,144,165,60,44,619
Finland,1262,114,955,116,100,134,214,579
Brazil,1454,700,194,139,355,422,509,503
Poland,1,4,9,21,21,3,686,415
Philippines,80,93,133,73,328,224,183,366
Spain,737,688,608,529,609,304,529,346
United States of America,1588,175,120,266,528,836,901,342
Switzerland,163,62,31,67,17,6,101,231
Egypt,76,33,23,42,103,10,156,228
Saudi Arabia,0,254,0,3,0,0,5,226
Angola,20,115,100,68,175,67,128,219
Austria,419,264,314,128,550,147,250,182
Denmark,885,154,266,26,110,47,532,136
United Kingdom,202,62,137,140,73,56,62,94
Rwanda,128,52,30,76,32,50,73,93
Malaysia,324,228,47,63,0,24,11,92
"Tanzania, United Republic of",132,1616,44,600,14,14,68,83
Ireland,110,26,2,0,0,7,12,74
Côte d'Ivoire,977,421,5,14,22,61,69,59
Australia,38,21,29,30,26,66,70,54
Japan,71,50,39,49,77,192,149,44
Singapore,996,232,193,162,42,24,5,40
Tunisia,11,36,193,25,38,36,36,40
Guatemala,0,0,0,0,0,0,0,32
Croatia,0,0,0,0,0,0,0,31
Congo,0,0,0,0,0,3,8,30
Bangladesh,0,0,0,7,1,0,0,23
Mexico,14,4,7,0,0,7,0,23
Andorra,0,0,0,0,0,0,0,16
Oman,1,0,0,0,0,0,1,9
Canada,1,5,5,8,10,16,3,7
Greece,0,1,2,3,0,6,1,5
"Hong Kong, China",69,48,6,20,6,1,2,4
Thailand,137,56,140,170,93,17,2,4
Bulgaria,0,0,0,0,0,0,0,2
Norway,16,0,0,37,44,8,0,2
Afghanistan,0,0,0,0,0,0,0,1
Cameroon,25,0,0,16,0,1,2,1
Ethiopia,0,5,3,1,0,0,0,1
Morocco,4,28,18,0,2,11,21,1
Namibia,0,0,0,0,1,0,0,1
Nigeria,115,9,8,0,5,0,1,1
Zimbabwe,375,12,0,0,0,0,0,1
Argentina,0,0,0,0,0,1,2,0
Bosnia and Herzegovina,0,5,0,0,0,0,0,0
Burundi,0,0,0,1,2,0,0,0
Sri Lanka,18,18,0,0,1,0,0,0
Colombia,3,0,0,0,0,0,0,0
Costa Rica,0,4,0,0,0,0,0,0
Ecuador,0,0,0,1,0,1,0,0
Gabon,0,0,0,1,0,0,0,0
Georgia,6,0,0,0,84,0,1,0
Ghana,2,2,0,2,1,0,1,0
Guinea,0,0,0,0,0,0,2,0
Hungary,0,0,0,9,0,0,0,0
Israel,2,0,0,0,4,0,0,0
Luxembourg,0,0,0,0,1,0,0,0
Malawi,7,0,0,0,0,0,0,0
Mauritius,0,0,0,0,80,0,0,0
"Taipei, Chinese",36,1,6,45,1,0,8,0
New Zealand,0,1,1,0,0,8,0,0
Niger,0,0,35,0,0,0,0,0
Pakistan,4,63,11,0,3,1,4,0
Panama,3,0,0,0,0,0,0,0
Romania,2,4,30,3,0,0,58,0
Senegal,25,0,1,1,0,0,1,0
Serbia,0,0,0,0,0,0,47,0
Viet Nam,4,0,0,0,24,145,0,0
Slovenia,1,1,0,0,51,0,0,0
Eswatini,3,0,0,15,2,0,0,0
Togo,2,0,0,0,0,0,0,0
Turks and Caicos Islands,0,145,0,0,0,0,0,0
Ukraine,0,0,0,1,0,0,0,0
HHI,0.238508062,0.239684514,0.199360032,0.191202609,0.203768179,0.204773275,0.166919993,0.180402904
