Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,13393,10638,20015,8092,21119,38936,19851,7686,8740,19055,11399,8257
China,12351,9760,18979,7147,4114,15902,11093,4983,7408,18927,9808,6721
India,0,0,131,1,197,1,8,234,130,2,789,504
Pakistan,42,36,45,301,2261,10138,218,70,625,0,207,356
Kenya,0,0,0,0,0,0,23,0,35,0,253,243
Viet Nam,0,0,0,23,0,0,3,0,3,0,72,230
"Iran, Islamic Republic of",343,442,224,129,111,5029,1017,249,229,70,118,127
Indonesia,0,0,0,0,0,0,2,0,7,0,89,65
Türkiye,40,73,8,24,80,91,0,20,14,0,1,8
Germany,2,7,0,0,64,0,0,0,0,0,0,2
Japan,13,0,99,19,0,0,0,3,0,6,0,1
"Korea, Republic of",0,262,437,169,0,30,95,11,71,14,2,1
"Korea, Democratic People's Republic of",447,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,81,33,0,0,0,0,0
Russian Federation,35,0,0,0,5381,0,0,0,0,0,0,0
Saudi Arabia,0,57,1,0,4,0,0,0,0,0,13,0
Spain,55,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,4,0,0,0
Tajikistan,0,0,91,276,61,2,22,4,0,0,0,0
Thailand,0,0,0,0,0,4,0,0,0,0,0,0
United Arab Emirates,65,1,0,3,8845,7657,7273,2111,132,36,43,0
United Kingdom,0,0,0,0,0,0,0,0,81,0,4,0
United States of America,0,0,0,0,2,0,64,0,0,0,1,0
HHI,0.887672396,0.874365369,0.922907949,0.831905276,0.339156795,0.325042842,0.536486247,0.558350762,0.791061165,0.988663354,0.811543096,0.740276533
