Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,18573,12036,12118,14588,20575,15175,24406,40623
China,5577,4335,3580,5858,9802,6292,9191,20897
Italy,722,686,700,773,945,1550,2841,4542
South Africa,4125,2876,2773,2710,3582,2657,4149,3545
Germany,671,138,147,136,401,401,372,2923
India,2128,443,1047,710,1413,671,1207,1930
United Arab Emirates,463,140,245,225,186,186,555,848
Belgium,434,338,450,711,889,786,1271,845
Kenya,183,413,458,727,414,524,550,766
Uganda,87,175,246,142,97,476,938,573
Zambia,235,188,185,111,88,142,245,528
United States of America,650,443,717,247,555,302,323,391
Spain,6,126,145,620,36,5,23,329
France,1469,828,703,718,947,435,577,305
"Tanzania, United Republic of",83,29,8,15,10,15,91,283
Greece,0,0,3,0,0,0,0,267
Sweden,149,35,59,102,16,34,103,185
Finland,13,30,16,7,64,16,34,184
Indonesia,5,4,59,0,10,49,79,178
"Korea, Republic of",179,64,8,26,66,110,213,124
Ireland,13,0,0,4,0,9,0,117
Switzerland,16,16,3,5,5,113,7,113
Türkiye,36,63,100,70,37,88,15,103
Lebanon,97,54,32,45,58,29,81,90
United Kingdom,144,93,48,74,61,74,55,74
Japan,148,42,34,50,30,19,238,65
Australia,60,54,139,29,68,12,166,61
Mexico,19,1,10,59,179,71,120,40
Angola,0,3,1,0,0,1,6,35
"Hong Kong, China",13,4,0,76,270,1,81,30
Ghana,0,0,2,0,0,0,1,27
Jordan,0,0,0,0,0,0,0,26
Hungary,3,8,1,0,3,2,30,23
Poland,1,6,7,5,1,1,2,23
"Taipei, Chinese",5,3,11,14,8,8,46,20
Malaysia,2,0,2,0,0,5,4,19
Netherlands,73,12,60,4,25,1,3,14
Canada,153,10,35,28,48,13,645,13
Sudan,0,0,0,0,0,0,0,12
Thailand,0,2,12,4,7,2,4,12
Egypt,330,284,2,0,46,1,5,11
Rwanda,3,3,1,1,2,2,6,10
Portugal,5,0,1,0,14,2,0,8
Singapore,27,8,4,0,2,1,23,5
Czech Republic,3,9,0,1,11,20,7,3
Morocco,0,0,0,0,0,0,0,3
Romania,0,1,0,0,13,19,1,3
Saudi Arabia,0,0,0,1,0,0,11,3
Brunei Darussalam,0,0,0,0,0,0,0,2
Cameroon,0,2,0,0,0,0,0,2
Denmark,7,5,1,0,1,0,2,2
Viet Nam,48,0,1,0,62,0,0,2
Brazil,12,3,21,6,2,5,8,1
Côte d'Ivoire,0,0,1,0,0,0,0,1
Luxembourg,55,7,0,0,3,0,1,1
Nigeria,0,1,0,1,0,1,0,1
Philippines,0,0,0,0,0,0,0,1
Senegal,0,4,1,0,0,0,0,1
Slovenia,0,0,0,0,0,0,0,1
Ukraine,2,0,2,31,0,10,0,1
Gabon,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,27,18,0,2,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,1,0
Andorra,0,0,0,0,2,0,0,0
Austria,63,34,0,0,14,0,11,0
Bangladesh,0,0,0,3,0,0,0,0
Botswana,2,0,0,0,0,0,0,0
Burundi,0,0,0,1,0,0,0,0
Chile,0,0,0,0,0,3,0,0
Congo,0,0,0,0,0,0,7,0
Ecuador,0,0,0,0,0,0,1,0
Iceland,0,0,1,0,0,0,0,0
Israel,1,0,0,0,26,2,0,0
Jamaica,0,0,0,2,0,0,0,0
Lithuania,4,0,0,0,0,0,0,0
Mauritius,0,3,1,0,0,0,50,0
Namibia,0,1,0,0,0,0,0,0
New Zealand,0,0,1,1,0,0,0,0
Norway,7,0,0,0,0,0,0,0
Pakistan,0,1,3,0,0,0,0,0
Panama,21,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,5,0
Saint Vincent and the Grenadines,10,0,0,0,0,0,0,0
Serbia,5,0,0,0,0,0,0,0
Slovakia,2,0,0,0,0,4,0,0
Zimbabwe,0,0,0,178,53,0,0,0
Eswatini,0,4,0,0,0,0,0,0
Togo,1,0,0,0,0,0,0,0
Tunisia,0,0,0,38,1,0,0,0
Turks and Caicos Islands,0,4,0,0,0,0,0,0
HHI,0.311848184,0.357548563,0.303764747,0.36353785,0.437635255,0.382200294,0.348313883,0.47389015
