Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1230,1568,1024,31922,1704,1576,2022,2168,2570,2085,2987,0,3547,2497,2401,3092,1860,1113,8989,3881
Switzerland,6,3,21,5,18,8,12,18,15,48,4,0,20,33,20,31,6,21,7836,2637
"Korea, Republic of",41,31,63,87,119,255,133,123,150,152,254,0,238,205,184,231,183,111,107,190
France,180,166,147,174,274,159,232,421,529,218,363,0,285,229,246,241,158,135,123,175
Australia,175,95,36,30,55,58,61,77,60,151,69,0,97,63,77,65,62,37,41,78
Myanmar,8,2,2,2,3,4,1,0,5,1,6,0,13,11,19,28,29,47,50,62
Japan,76,75,133,122,79,17,60,123,119,149,329,0,499,214,218,325,268,85,53,61
United States of America,91,64,97,138,138,116,438,240,192,536,201,0,212,231,179,224,178,84,86,58
China,7,25,8,18,22,37,50,118,268,69,80,0,544,255,372,243,80,59,34,57
Singapore,55,34,50,231,79,54,115,77,153,60,63,0,53,59,84,37,37,82,75,51
Indonesia,18,11,4,23,46,16,57,25,34,20,20,0,21,23,31,20,8,8,19,49
United Kingdom,30,35,42,59,35,68,35,94,63,88,108,0,96,112,78,113,42,44,35,42
Italy,1,0,0,15,0,7,11,78,56,4,71,0,138,261,78,42,69,63,38,39
"Hong Kong, China",18,4,4,14,88,1,31,8,18,16,55,0,29,17,46,23,26,14,50,32
Malaysia,68,30,70,32,11,100,33,42,26,50,478,0,42,34,42,36,58,30,38,30
Philippines,11,8,14,10,21,17,19,16,15,3,14,0,50,43,22,40,21,7,38,29
Germany,219,402,21,116,145,367,109,319,105,104,424,0,68,186,67,367,26,21,18,24
Lao People's Democratic Republic,5,17,37,10,105,16,2,63,10,25,2,0,9,11,21,15,6,12,27,20
Luxembourg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20
Belgium,47,38,10,25,21,17,21,13,16,53,32,0,31,48,19,220,21,6,1,16
India,22,6,6,10,14,8,17,13,20,13,11,0,29,20,52,22,55,21,12,15
Viet Nam,10,31,20,7,104,44,139,98,206,40,62,0,44,36,28,38,83,53,135,15
Netherlands,18,2,3,17,13,19,17,31,20,12,14,0,39,6,23,26,12,21,10,14
Thailand,14,74,40,71,72,42,212,31,155,29,54,0,55,75,69,154,76,34,29,14
South Africa,1,1,2,0,9,7,4,4,5,5,6,0,9,7,14,14,7,6,3,13
New Caledonia,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,3,0,12
New Zealand,4,7,5,2,29,10,0,0,23,21,15,0,3,21,22,19,10,2,6,12
Canada,3,219,55,10,12,9,18,7,12,6,15,0,42,65,43,8,7,9,2,11
Saudi Arabia,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,9
Egypt,5,2,0,2,7,10,0,1,2,2,17,0,0,9,0,0,2,0,6,8
Oman,0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,7
Nepal,0,0,6,0,20,0,2,0,1,7,4,0,10,10,11,5,1,0,0,7
Türkiye,0,0,10,12,2,0,0,2,0,1,2,0,2,5,2,1,25,1,1,6
Malawi,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,5
Spain,2,0,0,2,2,0,0,6,10,1,2,0,17,5,28,5,9,0,6,5
Cambodia,0,0,0,0,1,0,2,0,11,0,0,0,555,0,0,188,67,0,9,4
Benin,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4
Fiji,0,0,0,0,5,0,0,0,1,4,0,0,10,1,0,7,0,1,0,4
Sweden,2,29,18,4,6,9,10,8,9,4,8,0,2,7,1,6,8,0,0,4
Bangladesh,8,6,2,1,2,3,20,6,1,4,0,0,28,17,26,7,3,3,3,3
Chile,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
Kazakhstan,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,3
Pakistan,0,5,5,0,0,3,4,0,2,1,5,0,3,1,8,6,10,0,0,3
Serbia,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,3
United Arab Emirates,1,3,1,0,5,3,25,7,5,16,6,0,22,7,134,140,47,13,6,3
Tunisia,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,10,0,4,3
Ghana,0,0,0,0,1,0,0,0,0,0,0,0,3,7,0,0,0,0,2,2
Kenya,7,0,7,0,3,12,3,0,10,0,5,0,3,0,0,1,0,0,0,2
Madagascar,1,0,0,0,0,1,0,0,4,0,6,0,0,11,0,0,9,0,0,2
Mali,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,0,0,1,0,2
Portugal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2
Qatar,0,0,0,0,4,0,0,0,0,0,4,0,1,1,5,2,1,2,1,2
Rwanda,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,10,2
Bahrain,0,0,1,2,0,0,0,0,0,0,0,0,2,0,3,1,4,0,2,1
Sri Lanka,5,7,6,1,74,1,4,8,10,0,10,0,0,8,5,1,4,0,3,1
"Iran, Islamic Republic of",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Macao, China",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Taipei, Chinese",1,3,3,30595,7,35,3,6,28,12,5,0,31,13,0,15,4,0,2,1
Papua New Guinea,0,0,0,0,0,3,3,4,0,1,0,0,0,9,0,0,0,2,2,1
Russian Federation,0,7,0,0,0,4,3,1,15,2,0,0,26,0,0,4,0,3,0,1
Denmark,8,23,39,4,10,3,8,12,5,18,11,0,14,4,3,18,3,4,2,0
Jordan,0,0,1,0,5,2,6,4,4,0,0,0,0,20,0,1,6,10,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
British Virgin Islands,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Afghanistan,0,9,1,3,0,7,4,0,0,2,0,0,0,0,0,0,18,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Angola,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0
Azerbaijan,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,1,0,3,14,0,0,1,2,0,2,0,0,2,4,6,1,1,0,0
Barbados,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Bolivia, Plurinational State of",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Bosnia and Herzegovina,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,10,0,2,0,0
Botswana,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,1,1,0,0,0,0,0,0,38,5,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Brunei Darussalam,3,0,6,10,3,0,2,2,0,5,0,0,1,6,0,5,0,0,3,0
Bulgaria,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,10,0
Colombia,0,0,1,0,5,0,2,2,0,0,0,0,0,0,0,1,1,2,0,0
Congo,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,3,0,0
Cuba,0,0,0,0,0,0,0,1,89,0,0,0,0,1,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,3,0,16,0,17,1,1,0,4,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Dominican Republic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
Ecuador,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,12,0,1,0,3,0,8,0,5,9,0,0,0,1,4,0,0,0,4,0
Eritrea,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Finland,4,12,1,2,2,0,2,0,4,13,3,0,0,1,0,0,0,3,0,0
French Polynesia,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0
Ireland,0,9,3,0,0,0,0,3,1,0,0,0,6,0,1,0,0,2,1,0
Israel,0,0,0,0,0,9,1,0,10,0,0,0,3,0,5,1,1,0,6,0
Côte d'Ivoire,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
Jamaica,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Kuwait,0,0,2,0,1,0,0,0,0,3,42,0,2,4,2,4,3,1,0,0
Lebanon,1,0,0,1,0,0,3,0,4,0,0,0,0,8,1,1,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Liberia,0,0,0,0,0,0,5,0,0,2,0,0,0,3,0,0,3,0,0,0
"Libya, State of",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
Maldives,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,9,4,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
Mexico,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Mongolia,1,5,0,0,0,0,0,1,1,32,0,0,1,0,3,2,0,0,7,0
"Moldova, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mozambique,10,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0
Namibia,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Aruba,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nigeria,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,8,4,0
Norway,5,0,0,0,3,2,1,3,0,0,1,0,5,1,0,0,4,1,0,0
Panama,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Poland,1,0,0,0,0,0,15,0,0,0,0,0,0,32,7,1,0,1,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,0,15,0,5,0,2,5,1,4,0,0
Romania,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Senegal,0,0,0,22,2,0,0,0,0,6,0,0,0,2,2,10,5,0,0,0
Sierra Leone,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0
Slovakia,0,0,0,0,0,0,1,1,0,0,2,0,0,10,0,2,0,1,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Zimbabwe,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,23,0,0,16,0,0,3,0,0,0,0
Sudan (before 2012),10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eswatini,0,0,0,0,0,0,12,3,5,1,11,0,7,0,5,5,5,7,0,0
Syrian Arab Republic,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trinidad and Tobago,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,8,0,0,0,0,1,0,0,1,0,6,0,0,4,0,2,10,0,0,0
Ukraine,0,4,0,1,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0
"Macedonia, North",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",0,0,1,0,2,1,5,0,5,0,6,0,2,2,3,3,6,2,1,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,7,0,0,1,0,0,0,3,0,0,0,0,0,25,0,0,0,0,0
Zambia,4,0,3,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0
HHI,0.18858021,0.222061722,0.145599904,0.951673684,0.138060113,0.218133986,0.201560719,0.19795951,0.189919512,0.217215818,0.19481277,0,0.200604545,0.152434152,0.150986576,0.156267023,0.143512296,0.129247009,0.853163938,0.637172863
