Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,951,1468,312,457,310,652,1270,1351
"Tanzania, United Republic of",0,0,0,2,0,188,90,889
South Africa,255,146,18,126,197,36,26,288
France,0,1,49,9,7,5,8,47
United Arab Emirates,1,0,0,0,0,0,0,26
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,24
Switzerland,0,0,0,0,0,0,0,23
Belgium,129,3,171,22,22,2,52,20
Botswana,0,0,0,0,1,3,8,13
Gabon,0,0,0,0,3,0,47,6
Sweden,95,2,0,0,0,0,0,5
United States of America,0,1,0,0,1,2,0,3
Rwanda,0,0,1,5,0,209,0,2
Morocco,0,0,0,0,6,57,0,1
Zimbabwe,0,0,0,0,0,0,1,1
Zambia,21,18,11,137,2,6,1,1
Angola,0,9,4,1,0,3,18,0
Chad,0,0,0,0,0,1,0,0
Australia,0,0,0,0,0,6,0,0
Bangladesh,0,3,0,0,0,0,0,0
Cameroon,0,0,3,1,0,0,0,0
Canada,424,1163,0,0,0,0,3,0
China,1,0,0,1,0,0,0,0
Congo,0,0,0,0,0,49,0,0
Benin,0,0,0,1,0,0,0,0
Ethiopia,0,0,0,0,1,0,0,0
Germany,3,0,0,44,1,0,1,0
Ghana,5,0,0,1,5,54,336,0
Guinea,0,0,0,0,0,0,39,0
Israel,0,0,0,0,1,0,0,0
Italy,0,0,1,0,0,0,0,0
Côte d'Ivoire,0,0,1,46,0,9,0,0
Japan,0,0,5,0,4,0,0,0
Kenya,0,0,0,2,1,2,3,0
"Korea, Republic of",0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0
Liberia,0,1,0,0,0,0,0,0
Madagascar,0,0,0,1,2,0,0,0
Malawi,0,3,0,0,0,0,0,0
Mali,0,0,10,0,35,8,600,0
Namibia,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0
Pakistan,0,0,0,38,3,0,0,0
Portugal,3,0,0,0,0,1,0,0
Romania,0,0,1,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,3,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,1,0
Sierra Leone,0,0,0,0,0,0,11,0
India,0,0,0,1,0,0,0,0
Spain,0,34,0,0,13,9,0,0
Thailand,0,0,0,0,0,1,0,0
Togo,0,0,0,1,0,1,0,0
Tunisia,0,0,0,0,0,0,0,0
Uganda,4,79,2,16,1,0,0,0
Egypt,10,0,0,0,1,0,0,0
United Kingdom,0,0,1,0,4,0,0,0
Uruguay,0,0,33,0,0,0,24,0
HHI,0.363819294,0.728046273,0.440804695,0.277288204,0.55497041,0.306950256,0.412237324,0.586861587
